SA1_MAINCODE_2016,Distance (km),February (min),August (min),"Change, February to August (min)"
80101100618,22.605,64,60,-4
80101100619,22.116,64,59,-5
80101100620,22.031,63,58,-5
80101100621,21.682,72,68,-4
80101100622,22.104,63,58,-5
80101100623,22.713,66,60,-6
80101100701,14.238,54,44,-10
80101100702,14.94,54,42,-12
80101100703,13.691,49,49,0
80101100704,15.793,51,45,-6
80101100705,13.988,47,53,6
80101100706,16.756,53,39,-14
80101100707,18.562,62,45,-17
80101100708,14.828,49,51,2
80101100709,14.221,51,53,2
80101100710,18.837,63,47,-16
80101100711,21.56,64,54,-10
80101100712,14.155,45,62,17
80101100713,15.396,55,58,3
80101100714,15.394,50,48,-2
80101100801,13.065,47,36,-11
80101100802,13.198,49,41,-8
80101100803,13.841,51,43,-8
80101100804,12.925,45,34,-11
80101100805,10.959,46,38,-8
80101100806,12.869,46,38,-8
80101100807,12.891,46,41,-5
80101100808,12.653,47,36,-11
80101100809,12.796,48,38,-10
80101100810,13.143,42,37,-5
80101100811,12.812,44,40,-4
80101100812,12.652,43,38,-5
80101100901,17.546,51,64,13
80101100902,16.433,48,50,2
80101100903,16.787,48,52,4
80101100904,19.49,59,54,-5
80101100905,19.451,58,55,-3
80101100906,16.385,55,52,-3
80101100907,17.033,49,53,4
80101100908,19.674,55,57,2
80101100909,18.816,52,55,3
80101100910,17.126,46,49,3
80101101001,24.274,62,63,1
80101101002,22.182,62,60,-2
80101101003,21.962,58,60,2
80101101004,21.038,57,59,2
80101101005,21.15,59,59,0
80101101101,12.659,41,48,7
80101101102,13.434,40,47,7
80101101103,12.143,38,44,6
80101101104,12.55,35,43,8
80101101105,11.472,35,43,8
80101101106,11.027,33,40,7
80101101107,10.993,36,43,7
80101101108,12.856,37,44,7
80101101109,11.246,33,40,7
80101101110,12.058,36,43,7
80101101202,16.39,67,75,8
80101101203,24.951,99,NA,NA
80101101301,12.709,42,44,2
80101101302,12.55,46,42,-4
80101101303,16.002,55,47,-8
80101101304,11.278,38,40,2
80101101305,13.751,52,48,-4
80101101306,15.781,55,48,-7
80101101307,11.491,40,45,5
80101101308,21.379,66,45,-21
80101101309,13.221,48,48,0
80101101310,13.259,48,47,-1
80101101401,14.433,50,45,-5
80101101402,14.229,48,43,-5
80101101403,17.113,57,50,-7
80101101404,16.217,50,49,-1
80101101405,14.563,50,57,7
80101101406,14.663,54,49,-5
80101101407,13.722,41,36,-5
80101101501,19.189,57,59,2
80101101502,16.886,56,50,-6
80101101503,18.387,53,55,2
80101101504,16.267,48,44,-4
80101101505,16.482,56,50,-6
80101101506,14.118,44,39,-5
80101101508,14.621,44,39,-5
80101101509,16.406,55,45,-10
80101101510,18.149,52,52,0
80101101511,17.643,51,53,2
80101101512,16.556,52,47,-5
80101101513,16.134,47,41,-6
80101101514,16.382,48,41,-7
80101101515,16.177,48,42,-6
80101101601,8.642,30,37,7
80101101602,8.239,38,37,-1
80101101603,13.737,51,38,-13
80101101604,7.418,30,36,6
80101101605,6.961,24,31,7
80101101606,7.955,26,37,11
80101101607,7.512,29,35,6
80101101608,7.391,30,36,6
80101101609,9.295,35,38,3
80101101610,15.383,40,39,-1
80101101611,15.864,45,38,-7
80101101612,9.439,32,38,6
80101101613,10.208,34,40,6
80101101614,8.287,30,43,13
80101101615,9.373,31,37,6
80101101616,9.846,34,40,6
80101101617,9.77,36,42,6
80101101618,9.299,32,39,7
80101101619,7.87,33,39,6
80101101701,14.911,45,40,-5
80101101702,15.523,46,44,-2
80101101703,14.854,53,47,-6
80101101704,14.295,46,41,-5
80101101705,15.412,51,46,-5
80101101706,19.019,54,58,4
80101101707,14.278,45,40,-5
80101101708,16.244,55,53,-2
80101101709,14.167,45,40,-5
80101101802,16.307,53,55,2
80101101803,10.539,47,49,2
80101101804,10.028,41,43,2
80101101902,21.17,59,58,-1
80101101904,20.057,57,52,-5
80101101905,20.608,58,56,-2
80101101906,18.765,58,54,-4
80101101907,18.101,53,50,-3
80101101908,18.842,62,49,-13
80101101909,19.245,58,57,-1
80101101910,17.632,50,46,-4
80101101911,16.041,50,44,-6
80101101912,18.601,52,47,-5
80101101913,18.144,58,47,-11
80101101914,20.964,56,54,-2
80101101915,21.389,61,62,1
80101101916,21.338,61,56,-5
80101101917,21.525,63,54,-9
80101101918,20.63,58,50,-8
80101101919,21.556,64,59,-5
80101102001,10.354,23,25,2
80101102002,11.655,29,32,3
80101102003,11.707,23,26,3
80101102004,11.504,25,27,2
80101102005,13.102,26,29,3
80101102006,12.165,26,29,3
80101102007,11.644,26,28,2
80101102008,11.161,23,26,3
80101102101,13.461,45,48,3
80101102102,13.663,46,48,2
80101102103,13.053,46,48,2
80101102104,14.196,46,58,12
80101102105,14.938,50,53,3
80101102201,16.608,55,51,-4
80101102202,16.908,56,49,-7
80101102203,16.7,52,47,-5
80101102204,16.639,54,50,-4
80101102205,14.999,51,46,-5
80101102206,17.313,54,45,-9
80101102207,17.232,56,41,-15
80101102208,17.885,63,53,-10
80101102301,12.144,39,40,1
80101102302,11.022,35,35,0
80101102303,11.309,36,34,-2
80101102304,11.867,38,39,1
80101102305,12.048,38,39,1
80101102306,11.791,38,39,1
80101102307,11.563,41,42,1
80101102401,13.04,41,36,-5
80101102402,13.751,39,40,1
80101102403,14.281,46,45,-1
80101102404,12.823,43,45,2
80101102405,12.293,37,39,2
80101102406,12.686,41,43,2
80101102407,13.012,38,40,2
80101102408,12.319,42,37,-5
80101102501,19.063,60,46,-14
80101102502,18.33,57,43,-14
80101102503,18.365,58,42,-16
80101102504,20.035,60,47,-13
80101102505,18.672,58,44,-14
80101102506,19.518,58,45,-13
80101102601,10.15,24,26,2
80101102602,11.135,35,37,2
80101102603,10.683,30,32,2
80101102604,10.361,26,27,1
80101102605,11.272,30,32,2
80101102606,11.852,37,39,2
80101102607,10.953,26,27,1
80101111101,24.089,97,76,-21
80103103102,25.28,54,NA,NA
80103103103,29.487,69,NA,NA
80103111301,18.474,43,43,0
80103111302,20.076,47,52,5
80103111303,15.349,37,37,0
80103111305,11.37,38,36,-2
80103111306,17.217,44,44,0
80103111307,10.459,38,30,-8
80103111401,17.681,60,64,4
80103111501,8.073,28,23,-5
80103111502,8.958,36,32,-4
80103111505,9.141,52,48,-4
80103111507,7.845,25,21,-4
80104103401,21.45,64,46,-18
80104103402,16.936,54,40,-14
80104103403,16.74,57,43,-14
80104103404,19.497,62,50,-12
80104103405,19.011,63,50,-13
80104103406,15.659,55,42,-13
80104103407,17.074,57,43,-14
80104103408,18.088,59,46,-13
80104103409,17.914,57,43,-14
80104103410,18.421,57,45,-12
80104103411,18.973,59,46,-13
80104103412,19.044,62,49,-13
80104103413,16.837,59,45,-14
80104103414,17.124,54,40,-14
80104103501,22.445,69,54,-15
80104103505,19.562,62,59,-3
80104103506,22.29,72,56,-16
80104103507,21.011,70,58,-12
80104103508,20.245,64,57,-7
80104103509,21.969,68,53,-15
80104103510,19.782,66,59,-7
80104103511,21.981,69,54,-15
80104103512,20.682,66,56,-10
80104103513,20.272,64,57,-7
80104103514,20.084,71,64,-7
80104103515,20.3,65,58,-7
80104103516,22.055,70,54,-16
80104103517,20.091,69,65,-4
80104103518,19.624,63,59,-4
80104103519,20.532,67,59,-8
80104103520,22.378,69,53,-16
80104103521,20.452,67,60,-7
80104103522,22.524,70,53,-17
80104103601,21.936,58,61,3
80104103604,23.975,64,57,-7
80104103605,22.332,64,65,1
80104103606,24.984,70,64,-6
80104103607,23.547,64,64,0
80104103608,22.13,60,57,-3
80104103609,22.971,64,53,-11
80104103610,23.006,64,57,-7
80104103611,22.883,67,71,4
80104103612,24.607,66,59,-7
80104103613,24.586,66,60,-6
80104103614,23.99,65,62,-3
80104103615,24.992,71,65,-6
80104103616,22.635,62,59,-3
80104103617,23.955,64,62,-2
80104103618,23.135,65,52,-13
80104103702,18.411,63,50,-13
80104103703,18.041,58,46,-12
80104103704,18.536,64,52,-12
80104103705,15.82,47,47,0
80104103706,16.19,51,52,1
80104103707,18.172,60,47,-13
80104103708,17.784,55,43,-12
80104103709,17.877,66,51,-15
80104103710,16.524,50,50,0
80104103711,16.353,48,48,0
80104103712,18.182,60,48,-12
80104103713,17.487,61,47,-14
80104103714,17.982,61,49,-12
80104103804,16.669,57,50,-7
80104103805,19.396,65,63,-2
80104103806,16.634,57,50,-7
80104103807,18.882,63,62,-1
80104103808,15.905,52,45,-7
80104103809,17.893,59,51,-8
80104103810,16.467,54,48,-6
80104103811,17.254,58,50,-8
80104103812,18.667,61,54,-7
80104103813,15.523,52,45,-7
80104103814,16.108,55,50,-5
80104103815,17.507,59,50,-9
80104103907,10.924,40,32,-8
80104103908,10.387,39,29,-10
80104103909,11.245,35,26,-9
80104103910,10.435,33,24,-9
80104103911,11.889,35,27,-8
80104103912,10.093,38,32,-6
80104103913,11.326,36,27,-9
80104103914,10.207,40,33,-7
80104103915,11.533,45,31,-14
80104103916,11.217,35,25,-10
80104103917,11.121,34,24,-10
80104103918,11.828,44,26,-18
80104103919,10.032,42,36,-6
80104103920,11.701,33,29,-4
80104103921,10.374,33,23,-10
80104103922,10.653,36,26,-10
80104103923,10.264,38,31,-7
80104103924,9.855,40,32,-8
80104103925,9.54,36,30,-6
80104103926,11.835,35,29,-6
80104103927,10.955,41,28,-13
80104104001,13.977,43,34,-9
80104104002,14.659,52,42,-10
80104104005,12.703,46,33,-13
80104104006,13.369,45,34,-11
80104104007,12.437,42,32,-10
80104104008,12.311,41,38,-3
80104104011,11.694,59,52,-7
80104104013,14.985,50,40,-10
80104104014,14.535,50,41,-9
80104104015,14.343,48,38,-10
80104104016,14.097,45,35,-10
80104104017,12.044,37,29,-8
80104104018,12.247,40,25,-15
80104104019,14.393,48,36,-12
80104104020,14.236,46,35,-11
80104104021,12.966,40,29,-11
80104104022,13.647,39,27,-12
80104104023,14.491,49,37,-12
80104104024,14.645,48,38,-10
80104104025,11.958,37,33,-4
80104104026,13.91,42,33,-9
80104104027,13.551,38,28,-10
80104104401,12.233,40,33,-7
80104104402,14.38,43,35,-8
80104104404,12.256,37,33,-4
80104104405,11.946,38,37,-1
80104104409,12.53,39,34,-5
80104104410,9.819,34,24,-10
80104104411,11.522,37,33,-4
80104104412,11.401,37,27,-10
80104104413,10.904,34,33,-1
80104104414,10.071,38,28,-10
80104104415,10.539,35,25,-10
80104104416,9.578,36,33,-3
80104104417,10.392,35,34,-1
80104104418,11.288,36,26,-10
80104104419,10.374,32,23,-9
80104104420,11.542,39,29,-10
80104104421,10.458,34,24,-10
80104104422,11.574,38,32,-6
80104104423,14.582,43,32,-11
80104104424,9.64,37,34,-3
80104104425,10.963,40,31,-9
80104104426,9.856,35,25,-10
80104104502,10.925,63,66,3
80104104503,8.645,47,45,-2
80104104504,8.178,32,36,4
80104104601,14.647,51,39,-12
80104104603,15.353,53,43,-10
80104104604,19.771,69,61,-8
80104104605,18.986,68,54,-14
80104104606,19.928,70,59,-11
80104104607,16.193,57,52,-5
80104104609,23.217,67,54,-13
80104104612,16.143,53,42,-11
80104104613,15.416,52,41,-11
80104104614,15.751,55,50,-5
80104104616,19.093,69,55,-14
80104104617,17.719,64,61,-3
80104104618,17.458,63,64,1
80104104619,17.381,61,59,-2
80104104620,16.724,60,50,-10
80104104621,16.306,60,50,-10
80104104622,18.627,64,54,-10
80104104623,18.943,64,56,-8
80104104624,15.66,54,48,-6
80104104625,24.926,68,49,-19
80104104626,18.443,64,52,-12
80104104627,25.938,68,54,-14
80104104628,26.303,67,51,-16
80104104629,21.224,62,51,-11
80104104630,23.255,67,57,-10
80104104631,25.358,67,56,-11
80104104632,25.413,67,57,-10
80104104633,25.081,67,60,-7
80104104634,25.549,68,56,-12
80104104635,16.944,47,55,8
80104104636,18.753,65,53,-12
80104104637,18.35,66,57,-9
80104104701,24.631,69,44,-25
80104104702,20.534,57,50,-7
80104104703,21.845,58,46,-12
80104104704,22.604,65,48,-17
80104104705,24.42,69,48,-21
80104104706,23.345,65,49,-16
80104104707,21.406,62,53,-9
80104104708,17.865,56,47,-9
80104104709,18.638,60,42,-18
80104104710,23.156,63,47,-16
80104104711,23.246,65,45,-20
80104104712,24.058,66,46,-20
80104104713,24.465,68,43,-25
80104104715,19.356,58,58,0
80104104716,18.662,53,55,2
80104104717,21.842,74,69,-5
80104104718,21.019,65,59,-6
80104104719,18.937,54,53,-1
80104104801,16.05,61,44,-17
80104104802,12.676,44,39,-5
80104104803,15.952,60,44,-16
80104104804,11.994,40,37,-3
80104104805,12.198,42,38,-4
80104104806,12.083,43,41,-2
80104104807,11.86,41,38,-3
80104104808,19.34,61,41,-20
80104104809,13.393,46,40,-6
80104104810,18.63,60,45,-15
80104104811,18.703,61,43,-18
80104104812,11.992,42,39,-3
80104104813,12.809,46,41,-5
80104104814,13.264,46,41,-5
80104111701,25.798,81,61,-20
80104111801,22.457,74,59,-15
80104111802,23.784,91,77,-14
80104111901,11.013,45,57,12
80104112001,18.002,70,69,-1
80104112002,18.339,75,65,-10
80104112003,18.239,73,68,-5
80104112004,19.071,66,49,-17
80104112101,25.795,81,61,-20
80104112201,13.362,49,41,-8
80105104901,1.761,12,14,2
80105104902,2.165,13,17,4
80105104903,2.845,19,22,3
80105104904,3.792,30,34,4
80105105001,5.133,24,21,-3
80105105002,3.695,25,23,-2
80105105003,5.763,31,28,-3
80105105004,6.003,27,25,-2
80105105005,5.688,26,23,-3
80105105006,3.099,17,16,-1
80105105007,2.986,16,15,-1
80105105008,4.568,21,17,-4
80105105011,4.673,22,20,-2
80105105012,5.835,25,23,-2
80105105013,4.004,21,18,-3
80105105014,5.286,24,21,-3
80105105015,4.951,24,20,-4
80105105016,4.091,20,17,-3
80105105017,4.161,21,17,-4
80105105018,4.331,21,17,-4
80105105101,1.72,10,8,-2
80105105102,2.248,13,10,-3
80105105104,0.78,10,8,-2
80105105105,0.702,9,5,-4
80105105109,2.151,16,11,-5
80105105110,2.798,13,10,-3
80105105111,2.622,13,10,-3
80105105112,2.103,16,11,-5
80105105113,3.125,14,10,-4
80105105114,1.756,12,6,-6
80105105115,2.396,15,12,-3
80105105116,3.192,17,8,-9
80105105117,3.134,16,13,-3
80105105118,2.175,17,12,-5
80105105301,1.217,9,10,1
80105105302,0.976,6,7,1
80105105305,0.709,9,6,-3
80105105306,1.375,13,8,-5
80105105307,0.545,7,4,-3
80105105308,0.581,8,5,-3
80105105309,0.252,4,1,-3
80105105310,0.551,4,3,-1
80105105401,3.338,19,16,-3
80105105403,2.651,20,13,-7
80105105404,5.436,26,22,-4
80105105405,6.313,29,25,-4
80105105406,5.821,29,24,-5
80105105501,5.582,26,31,5
80105105502,6.227,30,20,-10
80105105503,5.964,26,20,-6
80105105504,5.955,28,17,-11
80105105505,5.851,25,24,-1
80105105506,5.363,23,23,0
80105105507,6.546,28,29,1
80105105508,5.925,26,23,-3
80105105509,6.172,29,16,-13
80105105601,6.757,31,29,-2
80105105602,7.499,31,27,-4
80105105603,7.511,32,28,-4
80105105604,8.198,30,29,-1
80105105605,7.428,33,30,-3
80105105606,7.663,34,30,-4
80105105607,8.59,32,34,2
80105105701,6.396,49,33,-16
80105105702,6.381,27,35,8
80105105703,5.574,26,33,7
80105105704,8.027,53,64,11
80105105705,6.27,31,28,-3
80105105706,5.564,21,32,11
80105105708,5.286,21,23,2
80105105709,3.702,22,16,-6
80105105711,3.53,21,10,-11
80105105712,2.65,15,12,-3
80105105713,5.033,18,20,2
80105105714,4.711,24,22,-2
80105105715,3.377,19,15,-4
80105105801,3.263,14,15,1
80105105802,3.898,18,22,4
80105105803,2.696,20,15,-5
80105105804,3.152,16,19,3
80105105805,4.158,17,18,1
80105105806,4.624,16,19,3
80105105807,4.337,16,18,2
80105105808,4.218,18,20,2
80105105809,4.033,15,16,1
80105105810,2.342,9,11,2
80105105811,2.796,14,16,2
80105105812,3.449,17,19,2
80105105813,2.758,21,16,-5
80105105814,7.8,41,38,-3
80105106002,2.612,19,12,-7
80105106003,2.322,18,12,-6
80105106006,2.135,12,15,3
80105106007,1.795,8,9,1
80105106008,0.567,7,6,-1
80105106009,1.347,10,8,-2
80105106010,1.014,9,4,-5
80105106011,1.644,16,11,-5
80105106012,1.15,14,10,-4
80105106013,0.812,10,9,-1
80105106101,7.417,28,29,1
80105106102,5.89,30,20,-10
80105106103,10.354,32,40,8
80105106106,8.357,29,38,9
80105106107,7.956,31,31,0
80105106108,7.436,29,37,8
80105106109,7.43,28,37,9
80105106110,11.415,36,22,-14
80105106111,7.437,32,27,-5
80105106112,7.146,28,24,-4
80105106113,11.794,41,30,-11
80105106114,10.687,32,38,6
80105106115,10.442,34,42,8
80105106116,10.356,37,48,11
80105106117,8.719,31,41,10
80105106118,9.584,33,43,10
80105106119,10.727,33,38,5
80105112401,5.346,20,20,0
80105112402,3.884,18,22,4
80105112403,4.495,18,28,10
80105112404,4.227,19,21,2
80105112405,4.279,23,22,-1
80105112406,5.124,21,30,9
80105112407,2.539,18,13,-5
80105112408,2.592,18,14,-4
80105112409,2.289,14,10,-4
80105112501,9.631,29,36,7
80105112502,5.707,18,30,12
80105112601,2.718,19,15,-4
80105112602,8.384,29,25,-4
80105112701,2.056,14,10,-4
80105112702,1.815,11,9,-2
80105112703,2.878,15,13,-2
80105112704,2.577,12,15,3
80105112801,3.27,16,11,-5
80106106201,7.982,27,23,-4
80106106202,6.568,24,23,-1
80106106203,9.409,32,23,-9
80106106204,8.409,30,22,-8
80106106205,7.363,25,21,-4
80106106206,9.926,40,40,0
80106106207,8.19,29,24,-5
80106106208,8.765,31,23,-8
80106106209,8.275,32,27,-5
80106106301,5.475,22,19,-3
80106106302,5.702,25,22,-3
80106106303,6.374,22,21,-1
80106106304,7.032,23,20,-3
80106106401,6.307,21,22,1
80106106402,7.481,24,23,-1
80106106403,8.304,28,26,-2
80106106404,7.902,33,24,-9
80106106405,7.589,24,31,7
80106106407,7.94,28,29,1
80106106409,6.522,24,23,-1
80106106410,6.272,21,21,0
80106106411,6.578,24,26,2
80106106413,7.32,32,31,-1
80106106414,6.729,24,23,-1
80106106415,8.4,35,42,7
80106106416,7.913,28,35,7
80106106417,6.809,25,24,-1
80106106601,2.801,15,18,3
80106106701,14.222,42,39,-3
80106106702,14.586,45,37,-8
80106106703,9.096,33,32,-1
80106106704,9.059,35,26,-9
80106106705,14.408,43,31,-12
80106106706,9.175,36,28,-8
80106106707,10.089,35,32,-3
80106106708,11.377,37,37,0
80106106709,8.755,32,31,-1
80106106710,10.032,33,31,-2
80106106712,10.504,32,30,-2
80106106713,11.673,42,39,-3
80106106714,8.509,28,27,-1
80106106715,8.617,27,26,-1
80106106716,8.663,32,30,-2
80106106717,13.363,41,37,-4
80106106718,11.08,35,33,-2
80106106719,11.292,37,35,-2
80106106801,3.212,17,21,4
80106106901,11.038,39,46,7
80106106902,9.276,35,38,3
80106106903,10.437,35,42,7
80106106904,10.385,33,40,7
80106106905,11.034,36,35,-1
80106106906,10.902,36,43,7
80106106907,9.857,31,39,8
80106106908,8.64,46,43,-3
80106106909,9.952,32,39,7
80106107001,8.695,31,27,-4
80106107002,10.78,39,36,-3
80106107003,9.61,29,26,-3
80106107004,9.923,28,25,-3
80106107005,8.687,27,23,-4
80106107006,9.137,30,27,-3
80106107007,8.352,26,23,-3
80106107008,3.886,24,21,-3
80106112901,4.594,19,17,-2
80106112902,6.182,23,21,-2
80106112903,5.316,24,19,-5
80106113002,10.266,36,27,-9
80106113003,7.01,17,25,8
80106113004,11.414,37,46,9
80106113005,11.791,35,26,-9
80106113006,13.397,76,72,-4
80106113007,11.734,25,35,10
80106113101,5.435,21,20,-1
80106113102,7.759,32,25,-7
80106113103,6.289,25,22,-3
80106113104,6.043,22,22,0
80106113105,6.139,23,23,0
80106113106,5.986,28,25,-3
80106113107,5.702,17,18,1
80106113108,5.242,19,19,0
80106113109,5.444,21,19,-2
80106113110,5.607,23,23,0
80106113111,7.661,29,21,-8
80107107101,32.503,78,82,4
80107107102,32.82,67,74,7
80107107104,34.821,75,73,-2
80107107105,34.526,71,93,22
80107107106,34.75,70,91,21
80107107107,33.918,68,91,23
80107107108,33.958,67,93,26
80107107109,34.877,71,93,22
80107107110,35.062,69,90,21
80107107111,34.843,71,70,-1
80107107112,31.994,66,71,5
80107107113,35.332,70,78,8
80107107114,34.902,67,88,21
80107107202,24.963,45,59,14
80107107203,25.787,49,60,11
80107107204,24.715,48,61,13
80107107205,24.245,51,59,8
80107107206,23.96,47,52,5
80107107207,24.622,47,60,13
80107107208,25.237,51,57,6
80107107209,25.191,54,67,13
80107107210,26.048,52,70,18
80107107211,25.817,50,65,15
80107107301,35.924,70,58,-12
80107107302,35.003,68,57,-11
80107107303,35.742,71,59,-12
80107107304,34.625,71,60,-11
80107107307,26.332,59,66,7
80107107308,25.987,60,66,6
80107107309,28.055,72,65,-7
80107107310,27.923,72,77,5
80107107311,27.087,66,64,-2
80107107312,26.018,64,70,6
80107107313,27.88,68,66,-2
80107107314,34.812,66,55,-11
80107107315,26.956,63,67,4
80107107316,34.387,67,57,-10
80107107317,35.373,69,58,-11
80107107401,28.972,64,67,3
80107107402,28.247,55,63,8
80107107403,31.728,64,71,7
80107107404,29.482,57,73,16
80107107405,30.561,60,68,8
80107107406,33.03,67,65,-2
80107107407,32.363,71,66,-5
80107107408,32.027,68,67,-1
80107107409,31.57,65,77,12
80107107410,31.079,61,76,15
80107107411,31.302,64,79,15
80107107412,33.416,70,65,-5
80107107413,28.901,64,68,4
80107107502,27.979,58,62,4
80107107503,36.656,78,79,1
80107107504,36.515,74,73,-1
80107107505,36.485,75,78,3
80107107506,29.567,61,82,21
80107107507,31.558,65,67,2
80107107508,31.684,66,72,6
80107107509,29.499,60,78,18
80107107510,31.024,63,66,3
80107107512,36.396,73,69,-4
80107107513,30.263,63,68,5
80107107514,28.403,77,82,5
80107107515,30.889,68,71,3
80107107516,27.371,61,66,5
80107107517,30.712,65,69,4
80107107601,24.997,62,82,20
80107107602,24.692,52,64,12
80107107603,24.213,53,62,9
80107107604,23.831,49,61,12
80107107605,25.42,51,62,11
80107107606,23.444,47,57,10
80107107607,27.722,59,71,12
80107107608,26.545,55,67,12
80107107609,24.751,54,66,12
80107107701,29.201,58,71,13
80107107702,28.787,58,72,14
80107107703,30.363,60,74,14
80107107704,28.88,55,70,15
80107107705,30.691,62,77,15
80107107706,30.277,61,76,15
80107107707,29.821,59,73,14
80107107708,30.286,64,78,14
80107107801,32.747,64,81,17
80107107802,32.631,64,77,13
80107107803,32.954,64,78,14
80107107804,33.219,64,77,13
80107107805,33.543,65,79,14
80107107806,33.216,74,87,13
80107107807,28.96,56,72,16
80107107808,29.264,56,68,12
80107107809,29.005,57,72,15
80107107810,30.396,62,71,9
80107107811,30.428,60,73,13
80107107812,31.695,61,81,20
80107107813,31.352,61,75,14
80107107814,31.385,66,80,14
80107107815,31.633,61,75,14
80107107816,31.212,60,74,14
80107107817,27.482,55,69,14
80107107818,27.512,55,67,12
80107107819,27.931,55,69,14
80107107820,27.681,53,66,13
80107107821,28.265,54,77,23
80107107901,23.525,49,54,5
80107107902,21.385,51,56,5
80107107903,21.398,51,56,5
80107107904,23.747,53,61,8
80107107905,26.973,59,69,10
80107107906,24.41,47,65,18
80107107907,23.8,47,57,10
80107107908,23.976,55,58,3
80107107909,22.241,55,54,-1
80107108002,20.185,44,40,-4
80107108003,23.709,57,61,4
80107108005,22.974,43,50,7
80107108006,21.406,40,37,-3
80107108007,22.695,45,48,3
80107108008,23.208,51,49,-2
80107108010,23.993,61,63,2
80107108011,20.83,39,36,-3
80107108101,26.303,55,57,2
80107108102,26.582,58,58,0
80107108103,26.557,58,58,0
80107108104,27.018,64,60,-4
80107108105,23.973,61,60,-1
80107108106,27.078,63,58,-5
80107108107,35.611,76,65,-11
80107108108,23.559,56,62,6
80107108109,26.789,59,63,4
80107108111,27.333,69,64,-5
80107108112,26.102,58,63,5
80107108113,27.206,62,55,-7
80107108114,26.012,57,59,2
80107108201,18.203,44,40,-4
80107108202,19.243,46,48,2
80107108203,18.824,47,49,2
80107108204,21.034,56,53,-3
80107108205,20.793,48,50,2
80107108206,20.093,45,47,2
80107108207,20.647,49,51,2
80107108208,18.311,46,42,-4
80107108209,18.042,42,39,-3
80107108210,18.684,50,47,-3
80107108211,25.418,60,55,-5
80107108212,25.589,62,57,-5
80107108213,20.507,50,46,-4
80107108214,20.419,47,44,-3
80107108215,20.481,47,44,-3
80107108216,18.466,46,43,-3
80107108217,25.897,60,51,-9
80107108218,26.77,61,50,-11
80107108219,20.119,46,48,2
80107108220,19.47,50,52,2
80107108221,19.8,48,51,3
80107108222,26.876,62,51,-11
80107108223,18.387,45,42,-3
80107108224,18.688,49,46,-3
80107108225,26.048,60,53,-7
80107108226,26.413,61,51,-10
80107108227,25.462,57,52,-5
80107108228,17.378,46,58,12
80107108229,17.84,44,46,2
80107108230,18.573,49,51,2
80107108231,27.531,64,50,-14
80107108232,21.222,66,68,2
80107108233,18.149,42,39,-3
80107108234,17.024,41,46,5
80107108235,17.25,43,47,4
80107108236,18.869,45,47,2
80107108237,20.509,46,79,33
80107108238,21.169,65,67,2
80107108239,19.758,48,50,2
80107108240,20.781,62,64,2
80107108241,18.122,43,40,-3
80107108301,25.819,56,67,11
80107108302,27.903,64,76,12
80107108303,27.778,62,74,12
80107108401,21.576,47,54,7
80107108402,22.71,54,57,3
80107108403,21.596,50,62,12
80107108404,24.956,60,59,-1
80107108405,23.616,57,59,2
80107108406,22.028,48,68,20
