seconds,m,minutes,hours,sa1_maincode_2016,SA2_NAME16,SA3_NAME16,SA4_NAME16
9384,101098,156.4,2.606666667,10201103112,Erina - Green Point,Gosford,Central Coast
9136,95182,152.2666667,2.537777778,10201103113,Erina - Green Point,Gosford,Central Coast
9222,95740,153.7,2.561666667,10201103114,Erina - Green Point,Gosford,Central Coast
8543,92230,142.3833333,2.373055556,10201103115,Erina - Green Point,Gosford,Central Coast
7161,92034,119.35,1.989166667,10201103116,Erina - Green Point,Gosford,Central Coast
6903,90197,115.05,1.9175,10201103117,Erina - Green Point,Gosford,Central Coast
8787,94821,146.45,2.440833333,10201103118,Erina - Green Point,Gosford,Central Coast
7442,91966,124.0333333,2.067222222,10201103119,Erina - Green Point,Gosford,Central Coast
7116,90816,118.6,1.976666667,10201103120,Erina - Green Point,Gosford,Central Coast
7010,90038,116.8333333,1.947222222,10201103121,Erina - Green Point,Gosford,Central Coast
6837,89585,113.95,1.899166667,10201103122,Erina - Green Point,Gosford,Central Coast
6774,88990,112.9,1.881666667,10201103123,Erina - Green Point,Gosford,Central Coast
6787,89538,113.1166667,1.885277778,10201103124,Erina - Green Point,Gosford,Central Coast
6812,88821,113.5333333,1.892222222,10201103125,Erina - Green Point,Gosford,Central Coast
6756,88778,112.6,1.876666667,10201103126,Erina - Green Point,Gosford,Central Coast
7966,92175,132.7666667,2.212777778,10201103127,Erina - Green Point,Gosford,Central Coast
7327,89654,122.1166667,2.035277778,10201103128,Erina - Green Point,Gosford,Central Coast
7340,90751,122.3333333,2.038888889,10201103129,Erina - Green Point,Gosford,Central Coast
6999,90316,116.65,1.944166667,10201103130,Erina - Green Point,Gosford,Central Coast
7034,89248,117.2333333,1.953888889,10201103131,Erina - Green Point,Gosford,Central Coast
6794,87356,113.2333333,1.887222222,10201103132,Erina - Green Point,Gosford,Central Coast
6838,89408,113.9666667,1.899444444,10201103133,Erina - Green Point,Gosford,Central Coast
6683,88087,111.3833333,1.856388889,10201103134,Erina - Green Point,Gosford,Central Coast
6474,87723,107.9,1.798333333,10201103135,Erina - Green Point,Gosford,Central Coast
7001,87463,116.6833333,1.944722222,10201103136,Erina - Green Point,Gosford,Central Coast
7136,87732,118.9333333,1.982222222,10201103137,Erina - Green Point,Gosford,Central Coast
7036,86840,117.2666667,1.954444444,10201103201,Gosford - Springfield,Gosford,Central Coast
7050,88282,117.5,1.958333333,10201103202,Gosford - Springfield,Gosford,Central Coast
8075,97038,134.5833333,2.243055556,10201103203,Gosford - Springfield,Gosford,Central Coast
6105,82557,101.75,1.695833333,10201103204,Gosford - Springfield,Gosford,Central Coast
6206,82457,103.4333333,1.723888889,10201103205,Gosford - Springfield,Gosford,Central Coast
7303,83023,121.7166667,2.028611111,10201103206,Gosford - Springfield,Gosford,Central Coast
5978,82234,99.63333333,1.660555556,10201103207,Gosford - Springfield,Gosford,Central Coast
6288,82623,104.8,1.746666667,10201103208,Gosford - Springfield,Gosford,Central Coast
6408,84645,106.8,1.78,10201103210,Gosford - Springfield,Gosford,Central Coast
6995,87550,116.5833333,1.943055556,10201103211,Gosford - Springfield,Gosford,Central Coast
6847,87111,114.1166667,1.901944444,10201103212,Gosford - Springfield,Gosford,Central Coast
7384,83605,123.0666667,2.051111111,10201103213,Gosford - Springfield,Gosford,Central Coast
7373,89067,122.8833333,2.048055556,10201103214,Gosford - Springfield,Gosford,Central Coast
6667,86900,111.1166667,1.851944444,10201103215,Gosford - Springfield,Gosford,Central Coast
6703,83604,111.7166667,1.861944444,10201103216,Gosford - Springfield,Gosford,Central Coast
6846,88033,114.1,1.901666667,10201103217,Gosford - Springfield,Gosford,Central Coast
7014,87641,116.9,1.948333333,10201103218,Gosford - Springfield,Gosford,Central Coast
6487,82763,108.1166667,1.801944444,10201103219,Gosford - Springfield,Gosford,Central Coast
6244,82448,104.0666667,1.734444444,10201103220,Gosford - Springfield,Gosford,Central Coast
6390,83791,106.5,1.775,10201103221,Gosford - Springfield,Gosford,Central Coast
5926,82482,98.76666667,1.646111111,10201103223,Gosford - Springfield,Gosford,Central Coast
5680,81903,94.66666667,1.577777778,10201103224,Gosford - Springfield,Gosford,Central Coast
7181,89787,119.6833333,1.994722222,10201103225,Gosford - Springfield,Gosford,Central Coast
6197,83384,103.2833333,1.721388889,10201103226,Gosford - Springfield,Gosford,Central Coast
6244,82847,104.0666667,1.734444444,10201103227,Gosford - Springfield,Gosford,Central Coast
6462,84546,107.7,1.795,10201103228,Gosford - Springfield,Gosford,Central Coast
6359,84058,105.9833333,1.766388889,10201103229,Gosford - Springfield,Gosford,Central Coast
6658,85416,110.9666667,1.849444444,10201103230,Gosford - Springfield,Gosford,Central Coast
6795,86124,113.25,1.8875,10201103231,Gosford - Springfield,Gosford,Central Coast
6881,86698,114.6833333,1.911388889,10201103232,Gosford - Springfield,Gosford,Central Coast
6973,86447,116.2166667,1.936944444,10201103233,Gosford - Springfield,Gosford,Central Coast
7007,85927,116.7833333,1.946388889,10201103234,Gosford - Springfield,Gosford,Central Coast
6448,83280,107.4666667,1.791111111,10201103235,Gosford - Springfield,Gosford,Central Coast
5752,81912,95.86666667,1.597777778,10201103236,Gosford - Springfield,Gosford,Central Coast
