SA1_MAINCODE_2016,Area (sq km),Nearest Centrelink office,Distance (km),Total travel time (min),Travel time decile
10102101134,12.528,Queanbeyan,20992.23631,27.7,9
10102101135,32.8226,Gungahlin,21106.1576,26.8,9
10102101136,15.4446,Gungahlin,17238.98519,28.5,9
10102101137,37.9124,Queanbeyan,18309.90847,35.1,10
10102101139,6.1138,Queanbeyan,16248.83136,20.8,9
10102101140,40.8801,Queanbeyan,13088.25583,114.8,10
10102101141,235.5365,Tuggeranong,37720.42016,46.2,10
10102101142,0.1629,Queanbeyan,22625.08045,23.5,9
10102101143,0.1365,Queanbeyan,7475.713634,14.6,8
10102101144,0.1524,Queanbeyan,7113.213977,15.7,8
10102101145,0.3951,Queanbeyan,22656.40796,22.5,9
10102101146,0.1721,Queanbeyan,23241.12447,24.2,9
10102101147,0.1319,Queanbeyan,7230.104698,15.4,8
10102101148,1.4459,Queanbeyan,7940.342045,17,8
10102101149,0.1131,Queanbeyan,7532.920123,14.7,8
10102101150,79.9332,Queanbeyan,10032.65559,15.1,8
10102101151,1.3461,Queanbeyan,21913.07247,23.3,9
10102101152,0.4634,Queanbeyan,23185.45281,26.7,9
10102101201,0.0899,Queanbeyan,5032.849392,12.4,7
10102101202,0.3118,Queanbeyan,6392.726516,13.3,7
10102101203,0.5254,Queanbeyan,4215.906101,10.5,6
10102101204,0.7836,Queanbeyan,6159.172923,15.1,8
10102101205,0.1963,Queanbeyan,3883.449863,11,6
10102101206,0.2317,Queanbeyan,6764.805794,14.5,8
10102101207,0.0875,Queanbeyan,3213.500589,7.9,4
10102101208,0.3704,Queanbeyan,1999.856311,7.5,3
10102101209,0.4409,Queanbeyan,2649.719705,8.6,4
10102101210,0.2186,Queanbeyan,4120.469521,11.8,6
10102101211,0.248,Queanbeyan,3449.251517,10.3,5
10102101212,0.1277,Queanbeyan,3746.518523,10.1,5
10102101213,0.2624,Queanbeyan,3564.630737,12.1,7
10102101214,0.2173,Queanbeyan,5122.745895,13.3,7
10102101215,0.2279,Queanbeyan,4122.411634,10.8,6
10102101216,0.1429,Queanbeyan,5342.537215,11.7,6
10102101217,2.4542,Queanbeyan,3337.803366,7.7,3
10102101218,0.2145,Queanbeyan,4759.106122,11.8,6
10102101219,0.2709,Queanbeyan,1577.180913,5.2,2
10102101220,0.315,Queanbeyan,2070.239594,6.6,3
10102101221,0.1594,Queanbeyan,2597.476021,7,3
10102101222,0.2016,Queanbeyan,4271.288722,10.7,6
10102101223,0.359,Queanbeyan,4597.634783,12,7
10102101224,0.3313,Queanbeyan,4870.81913,12.5,7
10102101225,1.4218,Queanbeyan,3001.540681,22.4,9
10102101226,2.1944,Queanbeyan,5086.252703,8.6,4
10102101227,0.2564,Queanbeyan,5509.81877,13.3,7
10102101228,0.1857,Queanbeyan,3029.910225,8.2,4
10102101229,0.1981,Queanbeyan,2245.188643,6.1,2
10102101230,0.0774,Queanbeyan,2369.051945,7.4,3
10102101231,0.356,Queanbeyan,5619.840399,12.1,7
10102101232,0.2009,Queanbeyan,5585.344737,15.1,8
10103101301,1.7304,Cooma,91353.06355,87.4,10
10103101302,2.5161,Bega,60129.32082,76.5,10
10103101303,1.1544,Bega,59291.95133,75.9,10
10103101304,1.5141,Bega,59939.06304,77.2,10
10103101305,1004.411,Cooma,56026.95141,56.2,10
10103101306,1563.83,Cooma,81457.79895,116.7,10
10103101307,477.7679,Bega,43297.6218,77.1,10
10103101308,936.4379,Bega,65330.13101,87,10
10103101401,0.2041,Cooma,1511.440954,3.3,1
10103101402,0.5813,Cooma,970.0247234,3.7,1
10103101403,0.8194,Cooma,1158.038456,3.3,1
10103101404,1.9773,Cooma,1025.71524,3.7,1
10103101405,0.5259,Cooma,678.8585673,2.7,1
10103101406,2.214,Cooma,2047.616853,5.5,2
10103101407,1.3295,Cooma,2038.542445,4.5,1
10103101408,1.3347,Cooma,3130.400593,5.2,2
10103101409,1.2349,Cooma,1597.024454,4.6,1
10103101410,0.6226,Cooma,871.6984865,3.6,1
10103101411,1.0424,Cooma,755.5385021,3.5,1
10103101412,1.398,Cooma,2609.789018,4.8,1
10103101413,0.4264,Cooma,2283.496984,5,2
10103101414,0.2137,Cooma,2606.510186,5.2,2
10103101415,0.2482,Cooma,2012.843987,4.5,1
10103101417,2.8304,Cooma,2313.345471,6.4,2
10103101418,86.0635,Cooma,2344.355024,6,2
10103101419,0.5708,Cooma,783.6167327,2.7,1
10103101501,138.8202,Cooma,41125.46421,41.4,10
10103101502,788.6609,Tuggeranong,65198.54947,120.6,10
10103101503,0.9694,Cooma,33987.48867,25.9,9
10103101505,138.9578,Cooma,32929.07021,24.8,9
10103101511,2.0235,Cooma,41250.87788,36.1,10
10103101512,597.0325,Cooma,45092.05278,51.5,10
10103101514,465.4728,Cooma,14494.3,23,9
10103101515,174.6151,Cooma,21389.28828,23.1,9
10103101516,137.1225,Cooma,42701.90526,33.1,10
10103101517,800.5049,Cooma,31716.50219,63.9,10
10103101518,324.101,Cooma,19503.37212,28.8,9
10103101519,23.6493,Cooma,6368.690884,7.8,4
10103101520,750.5576,Cooma,38383.45959,55.6,10
10103101521,481.6166,Cooma,15624.29468,14.3,8
10103101522,246.4462,Cooma,30801.08935,27.2,9
10103101523,828.8615,Cooma,23067.94279,19,9
10103101524,351.463,Cooma,39742.38437,35.4,10
10103101601,6.0898,Cooma,67743.65778,102.9,10
10103101602,0.5943,Cooma,30425.11027,41.6,10
10103101603,680.3042,Cooma,36418.1715,46.3,10
10103101604,25.4273,Cooma,44656.1359,62.9,10
10103101605,122.4486,Cooma,56780.71167,68.3,10
10103101606,302.891,Cooma,36527.44672,51.6,10
10103101607,211.8175,Cooma,41293.74374,39.7,10
10103101608,367.3701,Cooma,68224.5462,78,10
10103101609,16.2639,Cooma,51754.44373,59.5,10
10103101610,895.6246,Cooma,55974.3877,48.1,10
10103101611,1.0856,Cooma,79389.71714,92,10
10103101612,1294.4489,Cooma,72483.78911,80.9,10
10103101613,2.8329,Cooma,50522.55095,57.4,10
10103101614,0.3659,Cooma,50487.83345,60.9,10
10103101615,0.3008,Cooma,50087.85577,63.4,10
10103101616,0.2819,Cooma,49874.00692,64.2,10
10103101617,0.4067,Cooma,49320.76128,65.1,10
10103101618,8.823,Cooma,47231.67878,69.9,10
10103101619,1.6699,Cooma,30373.04915,42.4,10
10103101620,0.5015,Cooma,49608.04097,64,10
10104101701,0.374,Batemans Bay,2699.025633,7.1,3
10104101702,0.1084,Batemans Bay,1822.480184,5.1,2
10104101703,0.2843,Batemans Bay,2148.702542,7.6,3
10104101704,0.2444,Batemans Bay,664.3405802,2.5,1
10104101705,0.184,Batemans Bay,374.4679355,2.2,1
10104101706,1.3662,Batemans Bay,696.463758,2.9,1
10104101707,33.0964,Batemans Bay,2374.478559,20.3,9
10104101708,1.4122,Batemans Bay,5312.90332,11.5,6
10104101709,7.5678,Batemans Bay,4889.706826,9.6,5
10104101710,1.2041,Batemans Bay,3321.198014,12.7,7
10104101711,5.4754,Batemans Bay,2916.175381,8,4
10104101712,2.0312,Batemans Bay,2748.573256,14.5,8
10104101713,0.3627,Batemans Bay,1657.322222,7.4,3
10104101714,1.0779,Batemans Bay,1344.695595,7.1,3
