SA1_MAINCODE_2016,Area (sq km),Nearest Centrelink office,Distance (km),Total travel time (min),Travel time decile
10302106406,0.9161,Cowra,31331.81927,27.5,9
10302106407,464.4806,Cowra,39194.55941,43.8,10
10302106408,394.8425,Cowra,24644.97582,28.5,9
10302106409,92.5754,Cowra,32152.62854,34.1,10
10302106410,382.4804,Cowra,24382.67457,36.1,10
10302106411,149.4567,Cowra,12341.57268,11.6,6
10302106412,243.8121,Cowra,19724.77281,16.7,8
10302106413,253.1025,Cowra,14571.31722,18.3,9
10302106414,141.6571,Cowra,12575.25779,11.9,6
10302106415,305.3704,Cowra,28555.13791,35.8,10
10302106416,215.7184,Cowra,19002.95155,21.4,9
10302106417,270.0201,Cowra,15976.04129,18,9
10302106418,118.1545,Cowra,36755.09176,34.7,10
10302106501,0.1927,Parkes,30274.16754,26.8,9
10302106502,0.1713,Parkes,30696.389,27.2,9
10302106503,0.1839,Parkes,30997.242,26.9,9
10302106504,5.0692,Parkes,29699.23822,24.4,9
10302106505,0.3312,Parkes,31219.89975,25.7,9
10302106506,0.5904,Parkes,31331.89368,28.3,9
10302106507,1.6822,Parkes,31907.0323,28,9
10302106508,0.4113,Parkes,32589.18851,28,9
10302106509,0.4261,Parkes,32929.40064,29.3,10
10302106510,0.4042,Parkes,33144.74317,28.9,10
10302106511,1.0208,Parkes,32036.29631,29.6,10
10302106512,0.2034,Parkes,31530.19868,26.9,9
10302106513,1.1446,Parkes,32016.65692,27.4,9
10302106514,3.4584,Parkes,33197.72342,31.1,10
10302106515,4.5142,Parkes,37009.00844,31.2,10
10302106516,365.757,Parkes,39881.53279,45.3,10
10302106517,472.4552,Parkes,25385.00807,37.6,10
10302106518,803.6348,Parkes,46752.87835,47,10
10302106519,944.5693,Parkes,60737.02539,55.6,10
10302106520,1120.3164,Parkes,66050.97512,63.3,10
10302106521,438.7888,Parkes,35167.33961,42.5,10
10302106522,206.8384,Parkes,46043.0335,49.5,10
10302106523,89.2783,Parkes,35037.19719,33.3,10
10302106524,85.1459,Parkes,27674.78297,32.1,10
10302106525,44.1384,Parkes,33203.93364,34.8,10
10302106526,0.6945,Parkes,29280.1177,25.2,9
10302106527,0.7551,Parkes,30091.26923,27.6,9
10302106528,0.5308,Parkes,30734.63424,27.9,9
10302106529,5.337,Parkes,34170.81586,30.6,10
10302106601,0.2824,Young,47857.98417,38.2,10
10302106602,598.5417,Cowra,51872.10518,61.3,10
10302106603,401.7849,Young,43035.4959,35.7,10
10302106604,0.4081,Young,47446.37658,37.7,10
10302106605,0.7306,Young,47136.64699,37.9,10
10302106606,3.0714,Young,47914.48863,39.7,10
10302106607,2.623,Young,48707.39967,39.3,10
10302106608,0.5378,Young,47699.79929,39.6,10
10302106609,3.3186,Young,46326.75795,36.1,10
10302106610,323.4581,Cowra,30200.53203,27.7,9
10302106611,454.1428,Young,45049.70891,40.1,10
10302106612,762.2764,Young,52478.04,46.6,10
10302106613,742.9008,Young,77475.9571,68,10
10302106701,0.2547,Parkes,705.1919352,3.2,1
10302106702,2.8776,Parkes,2791.438968,5.4,2
10302106703,0.6894,Parkes,1963.622407,5.7,2
10302106704,2.1771,Parkes,2272.351988,7.3,3
10302106705,56.5975,Parkes,5866.635464,8.1,4
10302106706,135.8575,Parkes,7090.203734,8.2,4
10302106707,25.32,Parkes,2531.607757,7.2,3
10302106708,0.2389,Parkes,1195.731675,3.9,1
10302106709,0.4836,Parkes,692.5220361,2.1,1
10302106710,0.3246,Parkes,1372.851198,4.2,1
10302106711,0.2934,Parkes,797.319334,3.1,1
10302106712,0.2772,Parkes,1213.609268,4.8,1
10302106713,0.4809,Parkes,1792.861114,6.1,2
10302106714,1.1919,Parkes,2586.873975,5.8,2
10302106715,0.3928,Parkes,1403.577516,5,2
10302106716,0.2318,Parkes,1008.433201,3.4,1
10302106717,0.1589,Parkes,579.3879339,2.9,1
10302106718,0.4782,Parkes,417.3970735,2.2,1
10302106719,0.6864,Parkes,938.8348107,3.3,1
10302106720,0.394,Parkes,1068.761454,4.4,1
10302106721,0.1742,Parkes,368.3597789,1.9,1
10302106722,0.4796,Parkes,1301.243254,3.6,1
10302106723,1.0152,Parkes,1632.701153,5.6,2
10302106724,0.5197,Parkes,1248.111641,4.3,1
10302106725,1.7002,Parkes,2263.843923,6.4,2
10302106726,0.3682,Parkes,1615.776118,6.2,2
10302106727,0.4791,Parkes,1155.262607,4.4,1
10302106728,0.2658,Parkes,202.615011,1.6,1
10302106729,0.3472,Parkes,1061.330485,3.3,1
10302106801,389.3623,Parkes,22809.84721,23.1,9
10302106802,0.4337,Parkes,45742.58997,35.7,10
10302106803,0.3934,Parkes,45157.53547,33.9,10
10302106804,2.8165,Parkes,44505.51148,38.7,10
10302106805,2.7058,Parkes,49873.42031,39.1,10
10302106806,876.3424,Parkes,52400.70959,43.4,10
10302106807,743.4431,Parkes,45111.86374,36.5,10
10302106808,698.0903,Parkes,16901.32575,18.3,9
10302106809,1266.1187,Parkes,48286.85157,44.2,10
10302106810,824.584,Parkes,27526.39589,23.3,9
10302106811,613.8747,Parkes,17212.23762,16.8,8
10302106901,0.5854,Leeton,102989.0057,89.3,10
10302106902,7.5454,Leeton,104466.4883,92.5,10
10302106903,838.6306,Leeton,115858.8674,112.7,10
10302106904,793.0871,Leeton,99566.92706,96.2,10
10302106905,1051.9293,Griffith,80957.53355,88.5,10
10302106906,1317.3667,Griffith,75785.01436,74.7,10
10302106907,1377.9782,Leeton,60834.77903,62.6,10
10302106908,728.0793,Leeton,76709.01323,67.5,10
10302106909,588.5127,Young,86131.9279,81.6,10
10302106910,1603.9823,Young,91675.70553,195.5,10
10302106911,1.0656,Young,85364.21812,70.9,10
10302106912,1.0231,Leeton,113961.0208,106.5,10
10302106913,1.341,Leeton,102065.598,89.2,10
10302106914,0.5131,Leeton,101486.5593,87.4,10
10302106915,0.4616,Leeton,102013.886,89.7,10
10302106916,0.4412,Leeton,102178.9054,89,10
10302106917,0.4703,Leeton,102113.4499,89.4,10
10302106918,2.4876,Leeton,102059.5377,88.6,10
10302106919,1.9724,Leeton,103343.6407,90.4,10
10303107001,0.3229,Lithgow,3827.548064,9.3,5
10303107002,22.1867,Lithgow,4772.076087,11.1,6
10303107003,0.8519,Lithgow,965.2231099,3.5,1
10303107004,36.0655,Lithgow,5932.469378,8.4,4
10303107005,1.6998,Lithgow,939.5441891,13.1,7
10303107006,0.2564,Lithgow,233.124891,0.8,1
10303107007,0.1532,Lithgow,629.7972311,1.8,1
10303107008,1.2369,Lithgow,3636.5664,8.6,4
10303107009,5.3927,Lithgow,2984.652874,10.4,5
10303107010,0.534,Lithgow,1704.955535,4.1,1
10303107011,0.7182,Lithgow,801.2219084,4.1,1
10303107012,0.1967,Lithgow,2310.209326,5.1,2
10303107013,2.1796,Lithgow,2822.811379,7,3
10303107014,0.7011,Lithgow,974.0244791,3.3,1
10303107015,3.0166,Lithgow,2812.002391,6.1,2
10303107016,0.9857,Lithgow,1668.489354,6,2
10303107017,3.0766,Lithgow,5163.929912,8.7,4
10303107018,2.1705,Lithgow,1732.912418,4.6,1
10303107019,0.3758,Lithgow,2589.424711,6,2
10303107020,0.2798,Lithgow,2551.823574,6.8,3
10303107021,0.2653,Lithgow,2705.024791,6.8,3
10303107022,0.7095,Lithgow,4284.730952,9.8,5
10303107023,0.4201,Lithgow,567.2865763,3.5,1
10303107024,1.2662,Lithgow,1632.431735,5,2
10303107025,0.4464,Lithgow,3027.449889,8,4
10303107026,0.2665,Lithgow,2771.814108,6.5,3
10303107027,0.7444,Lithgow,2412.048568,6.9,3
10303107028,0.2219,Lithgow,2086.003851,4.9,2
10303107029,0.1474,Lithgow,1351.436756,3.9,1
10303107030,28.658,Lithgow,6407.226839,12.5,7
10303107031,0.4532,Lithgow,6952.80162,11.4,6
10303107032,3.9849,Lithgow,1942.377509,4.1,1
10303107101,0.1396,Lithgow,21560.66363,23,9
10303107102,0.4472,Lithgow,20472.76699,26.5,9
10303107103,0.7561,Lithgow,21166.86552,25.4,9
10303107104,0.8998,Lithgow,21350.78788,25.5,9
10303107105,1.3356,Lithgow,12517.23123,13.9,7
10303107106,0.3363,Lithgow,11635.65158,14.3,8
10303107107,0.3865,Lithgow,11551.95523,15,8
10303107108,1.1638,Lithgow,12146.85391,15,8
10303107109,3.528,Lithgow,11146.83689,15.5,8
10303107110,6.6806,Lithgow,8763.668065,12.3,7
10303107111,18.6756,Lithgow,5816.903104,11.4,6
10303107112,94.3167,Lithgow,6599.638953,15.7,8
10303107113,583.4591,Lithgow,48458.87325,91.9,10
10303107114,178.2655,Lithgow,21646.38475,31.9,10
10303107115,116.8981,Lithgow,13795.01451,14.7,8
10303107116,183.277,Lithgow,19669.72124,25.9,9
10303107117,306.1309,Katoomba,22249.8778,54.9,10
10303107118,2.1984,Lithgow,11185.17416,21.5,9
10303107119,0.1558,Lithgow,11916.30221,15.5,8
10303107120,45.8586,Lithgow,21211.78279,23.9,9
10303107121,48.3115,Lithgow,23610.8454,29.9,10
10303107122,2.1046,Lithgow,22305.26167,26.3,9
10303107123,0.782,Lithgow,23259.92687,21.9,9
10303107124,0.3796,Lithgow,22016.40679,24.9,9
10303107125,60.0555,Lithgow,11672.18343,16.2,8
10303107126,8.0998,Lithgow,8419.879214,16,8
10303107127,96.7504,Katoomba,13407.96028,31.9,10
10303107128,752.6774,Lithgow,37771.37172,43.6,10
10303107201,0.3566,Mudgee,807.9658379,3,1
10303107202,0.4391,Mudgee,1428.983113,3.6,1
10303107203,0.1512,Mudgee,1048.844038,4.3,1
10303107204,0.2766,Mudgee,1384.799452,5.1,2
10303107205,0.3255,Mudgee,1359.332667,5.3,2
10303107206,4.7092,Mudgee,1842.246929,8,4
10303107207,26.8983,Mudgee,5284.650862,9.3,5
10303107208,0.5988,Mudgee,498.3439213,2.6,1
10303107209,0.2989,Mudgee,641.4625196,2.3,1
10303107210,0.5668,Mudgee,218.206947,2.2,1
10303107211,1.0571,Mudgee,2111.923914,5.6,2
10303107212,0.3546,Mudgee,2422.796672,5.9,2
10303107214,0.5502,Mudgee,2853.956292,8.7,4
10303107215,0.2943,Mudgee,2036.949479,5.5,2
10303107216,0.5413,Mudgee,1296.107024,4.2,1
10303107217,0.5595,Mudgee,1302.642303,3.8,1
10303107218,0.3028,Mudgee,2297.163444,6.7,3
10303107219,0.2971,Mudgee,1822.243219,6.1,2
10303107220,0.4047,Mudgee,1051.83677,4.3,1
10303107221,0.4056,Mudgee,819.8472119,4,1
10303107222,6.6874,Mudgee,2843.446047,5,2
10303107224,0.235,Mudgee,1307.220656,4.3,1
10303107225,1.6363,Mudgee,2249.532961,6.8,3
10303107226,0.3062,Mudgee,1969.813469,7.4,3
10303107227,4.4964,Mudgee,3634.083694,10,5
10303107228,13.1453,Mudgee,2813.753918,6.8,3
10303107301,1.1102,Mudgee,47525.25769,53.6,10
10303107302,135.1855,Mudgee,40680.14575,43.7,10
10303107303,1.5118,Mudgee,42608.51903,41.5,10
10303107304,0.5428,Mudgee,43131.99745,43.6,10
10303107305,0.4854,Mudgee,47496.96843,50.6,10
10303107306,0.2906,Mudgee,46911.37429,50.6,10
10303107307,0.413,Mudgee,46811.47804,48.9,10
10303107308,0.3561,Mudgee,46969.79063,49.8,10
10303107309,1.8222,Mudgee,46371.33509,48.5,10
10303107310,528.5091,Bathurst,49550.17899,59.7,10
10303107311,135.8786,Mudgee,53568.27499,57,10
10303107312,202.0125,Mudgee,39620.61929,37.7,10
10303107313,795.031,Mudgee,59533.48978,65.5,10
10303107314,1048.9355,Mudgee,45588.83515,69.7,10
10303107401,29.2071,Mudgee,26763.46716,28,9
10303107402,68.8321,Mudgee,25073.02206,24.5,9
10303107403,1.1362,Mudgee,25777.90957,25.3,9
10303107404,1496.5197,Mudgee,67645.72632,64.4,10
10303107405,1.8089,Mudgee,65711.48377,59,10
10303107406,446.8758,Mudgee,61992.89358,64,10
10303107407,358.7407,Mudgee,42850.39222,46.5,10
10303107408,220.3575,Mudgee,40736.41955,37.3,10
10303107409,256.7827,Mudgee,39649.8153,71.3,10
10303107410,962.473,Mudgee,46201.1986,42.2,10
10303107411,612.3943,Mudgee,29127.12088,33.9,10
10303107412,0.9826,Mudgee,26799.65882,25.1,9
10303107413,0.8559,Mudgee,26082.34442,24.2,9
10303107414,1.0674,Mudgee,25387.32604,22.2,9
10303107415,44.2336,Mudgee,28697.54828,25.7,9
10303107416,239.6533,Mudgee,25701.76119,30.1,10
10303107417,73.7787,Mudgee,18265.52849,19.5,9
10303107418,93.2038,Mudgee,9958.636594,13.9,7
10303107419,372.7085,Mudgee,30352.68139,41.5,10
10303107420,346.9979,Mudgee,17676.62319,21,9
10303107421,205.6531,Mudgee,10799.96346,10.8,6
10303107422,556.8126,Mudgee,21297.80913,62.6,10
10303107423,902.6794,Mudgee,36213.22481,61.8,10
10303107425,483.3324,Mudgee,29785.05687,50.3,10
10303107426,2.41,Mudgee,66590.81274,58.9,10
10303107427,264.3663,Mudgee,15222.68806,16.8,8
10303107501,2448.7276,Lithgow,41298.88179,84.2,10
10304107601,130.1988,Orange,34544.93327,38.5,10
10304107602,0.2851,Orange,19603.14144,22.9,9
10304107603,0.6149,Orange,19559.47738,23.1,9
10304107604,0.3815,Orange,30154.19312,31,10
10304107605,0.4537,Orange,30862.86596,33,10
10304107606,0.5787,Orange,31331.30653,33.3,10
10304107607,2.0195,Orange,30129.15507,34.8,10
10304107608,0.2709,Orange,30409.69343,31.5,10
10304107609,0.5808,Orange,29524.1346,31.2,10
10304107610,0.2952,Orange,31671.93085,33.8,10
10304107611,1.1902,Orange,36425.63614,42.2,10
10304107612,2.7155,Cowra,37105.11531,28.7,9
10304107613,0.7893,Orange,32209.44193,36,10
10304107614,64.4645,Orange,21040.60596,24.8,9
10304107615,66.0736,Orange,20041.2879,27.2,9
10304107616,477.7598,Orange,30145.77147,37.8,10
10304107617,350.9722,Cowra,35334.00621,33.6,10
10304107618,205.3585,Orange,51115.6968,59.4,10
10304107619,127.6874,Bathurst,37316.91104,37.4,10
10304107620,111.4361,Bathurst,27941.57583,30.7,10
10304107621,98.5486,Bathurst,27827.97959,24.5,9
10304107701,0.2476,Orange,2434.765461,5.5,2
10304107702,0.19,Orange,943.4846172,4.1,1
10304107703,0.1932,Orange,768.8320234,3.8,1
10304107704,0.2792,Orange,803.9262093,5.4,2
10304107705,0.3503,Orange,407.9478977,3.5,1
10304107706,0.1934,Orange,626.9776541,3.3,1
10304107707,0.3198,Orange,775.2264076,3.7,1
10304107708,0.2673,Orange,2471.147726,6.5,3
10304107709,0.1971,Orange,2096.302109,6.4,2
10304107710,0.2891,Orange,1784.009145,5.3,2
10304107711,0.7672,Orange,264.4838659,2.2,1
10304107712,0.2178,Orange,910.5603066,3.3,1
10304107713,0.2122,Orange,1396.43424,4.5,1
10304107714,0.1379,Orange,1338.789812,4.4,1
10304107715,0.2839,Orange,1743.579677,6.4,2
10304107716,0.8843,Orange,2538.764235,7.8,4
10304107717,0.237,Orange,1828.750603,8.1,4
10304107718,0.2125,Orange,1181.868023,5.3,2
10304107719,0.3679,Orange,959.0044458,5.7,2
10304107720,0.4198,Orange,1505.277034,6.9,3
10304107721,0.3254,Orange,2189.209803,8.2,4
10304107722,0.6988,Orange,2671.795726,8.5,4
10304107723,0.634,Orange,2387.212787,9.1,5
10304107724,0.0978,Orange,1625.35738,7.8,4
10304107725,0.1809,Orange,2148.248893,6.5,3
10304107726,0.3042,Orange,1173.507443,4.4,1
10304107727,0.205,Orange,881.5028248,3.1,1
10304107728,0.2114,Orange,898.9760461,5.2,2
10304107729,0.1869,Orange,1655.860949,5.5,2
10304107730,0.1883,Orange,1482.977231,4.8,1
10304107731,0.6365,Orange,1371.17149,6.3,2
10304107732,0.7193,Orange,2016.596264,6.9,3
10304107733,0.1829,Orange,1879.73956,7,3
10304107734,0.1986,Orange,1488.806518,6.5,3
10304107735,0.6955,Orange,1679.836153,5.9,2
10304107736,0.0786,Orange,1756.17269,4.7,1
10304107737,19.8526,Orange,4209.123631,12.4,7
10304107738,2.7115,Orange,2933.725357,7.2,3
10304107739,5.2712,Orange,3851.740773,9.4,5
10304107740,0.5895,Orange,2136.803699,6.6,3
10304107741,0.2648,Orange,1208.03133,6.5,3
10304107742,0.1705,Orange,1377.110411,6.8,3
10304107743,0.2101,Orange,815.3434082,5.1,2
10304107744,0.179,Orange,1102.699184,6.7,3
10304107745,0.1482,Orange,1487.493155,7.3,3
10304107746,0.9469,Orange,2328.339882,10.5,6
10304107747,0.1529,Orange,2880.522312,9.8,5
10304107748,0.2064,Orange,2529.033976,8.8,4
10304107749,0.1074,Orange,2692.311291,9.2,5
10304107750,0.1725,Orange,2408.741038,8.8,4
10304107751,1.413,Orange,2547.078844,8.5,4
10304107752,0.5907,Orange,2347.419808,9.4,5
10304107753,0.1971,Orange,1154.76456,5,2
10304107754,0.254,Orange,2458.152085,6.7,3
10304107801,0.1751,Orange,1437.277695,6.6,3
10304107802,0.1184,Orange,1844.313309,7.4,3
10304107804,0.2967,Orange,1772.648638,6.7,3
10304107805,0.1692,Orange,1338.29449,5.4,2
10304107806,0.3218,Orange,1297.193001,6,2
10304107807,0.2623,Orange,2685.51937,11.4,6
10304107808,0.452,Orange,2468.109,9.2,5
10304107809,29.127,Orange,9655.67436,19.1,9
10304107810,3.2448,Orange,5803.864141,14.9,8
10304107811,0.108,Orange,2137.730213,8.7,4
10304107812,0.3018,Orange,3059.275754,9.7,5
10304107813,0.3376,Orange,3129.968602,12.2,7
10304107814,0.2619,Orange,2483.177963,7.4,3
10304107815,0.2029,Orange,2054.549343,5.6,2
10304107816,0.1601,Orange,2901.103425,7.8,4
10304107817,0.3437,Orange,2274.309019,8.3,4
10304107818,0.3002,Orange,2444.706882,8.5,4
10304107819,0.1707,Orange,1369.33637,5.6,2
10304107820,0.1583,Orange,2560.793387,7.3,3
10304107821,0.1008,Orange,2831.080264,7.7,3
10304107822,0.3056,Orange,2820.426001,6.9,3
10304107823,0.3073,Orange,3078.157941,8,4
10304107824,0.2232,Orange,2620.238013,7.1,3
10304107825,0.2251,Orange,2096.06877,5.7,2
10304107826,0.1996,Orange,2742.200339,9.7,5
10304107827,0.7098,Orange,2796.40777,8.5,4
10304107828,0.3411,Orange,2117.899763,7.2,3
10304107829,0.2568,Orange,1726.923906,7.1,3
10304107830,0.2637,Orange,1657.26859,5.4,2
10304107831,10.3485,Orange,7035.479825,16.2,8
10304107833,1.3183,Orange,3441.624025,9.5,5
10304107834,1.8372,Orange,3186.557011,6.1,2
10304107835,18.3244,Orange,5166.288984,12.4,7
10304107836,1.0102,Orange,2772.586631,10.4,5
10304107837,0.366,Orange,2045.98286,9.4,5
10304107838,0.4542,Orange,1606.615334,7.7,3
10304107839,0.2368,Orange,2130.422848,9.5,5
10304107840,0.5378,Orange,3769.080371,10.5,6
10304107841,0.7906,Orange,3933.549091,10.1,5
10304107842,0.4458,Orange,3753.396366,11.8,6
10304107843,0.1273,Orange,2356.263602,9,4
10304107844,0.1614,Orange,2742.340233,10.4,5
10304107845,24.1078,Orange,4810.150534,11.2,6
10304107901,1.8259,Orange,51057.78732,47.2,10
10304107902,0.9703,Orange,33328.04202,30.6,10
10304107903,0.4834,Orange,30282.39687,27.7,9
10304107904,0.4692,Orange,30572.99537,28.4,9
10304107905,1.3299,Orange,39699.60997,35.8,10
10304107906,1.2531,Orange,38482.72396,32.9,10
10304107907,252.2921,Orange,30852.21814,35.3,10
10304107908,247.745,Orange,36901.74411,34.8,10
10304107909,349.4012,Orange,42675.88449,39.7,10
10304107910,328.2651,Parkes,43051.04207,44.6,10
10304107911,93.5658,Orange,15029.4665,22.6,9
10304107912,47.1265,Orange,15484.15875,20.6,9
10304107913,253.8365,Orange,16279.09697,28.3,9
10304107914,34.7122,Orange,8183.519698,18.6,9
10304107915,37.7049,Orange,8061.924085,12.3,7
10304107916,29.5529,Orange,9845.844001,15,8
10304107917,1.0747,Orange,30912.76391,31.9,10
10304107918,0.3552,Orange,13662.80929,20,9
10304107919,0.3526,Orange,29819.63281,27.8,9
10304107920,0.5699,Orange,29847.15129,28.2,9
10304107921,1.9585,Orange,31056.18911,29.1,10
10304107922,19.1293,Orange,6102.566885,10.8,6
10304107923,235.4928,Orange,20358.96684,35.4,10
10304107924,61.6079,Orange,9982.270446,16.3,8
10304107925,250.0813,Orange,23836.48291,26.7,9
10304107926,83.845,Orange,16308.24973,44.2,10
10304107927,26.6959,Orange,8607.254271,11.3,6
10304107928,49.3355,Orange,11814.86087,14.6,8
10304107929,238.3361,Orange,19949.72526,20.2,9
10304107930,88.1576,Orange,14023.52525,15.2,8
10304107931,118.4879,Orange,18888.32738,20.7,9
10304107932,131.2532,Orange,38146.6842,37.5,10
10304107933,205.3673,Orange,38748.00497,40.4,10
10304107934,984.776,Parkes,45138.48891,40.6,10
10304107935,124.1853,Orange,27044.18074,27.8,9
10304107936,178.4997,Orange,26236.46516,25.1,9
10401108001,0.8356,Grafton,2993.480679,6.7,3
10401108002,11.9761,Grafton,4307.580661,14.6,8
10401108003,0.3888,Grafton,2535.536162,5.9,2
10401108004,0.5531,Grafton,1602.568062,5.9,2
10401108005,0.1757,Grafton,584.7147383,2.3,1
10401108006,0.4428,Grafton,4128.954212,12.6,7
10401108007,0.663,Grafton,3819.030472,10.3,5
10401108008,0.2042,Grafton,3593.759357,9.1,5
10401108009,0.2426,Grafton,3272.416202,9,4
10401108010,0.3863,Grafton,2715.349134,8.5,4
10401108011,0.1816,Grafton,2843.091371,7.8,4
10401108012,0.2738,Grafton,2822.000457,8.2,4
10401108013,10.2414,Grafton,5877.96794,12.9,7
10401108014,0.2257,Grafton,3428.571712,9.6,5
10401108015,5.5228,Grafton,5143.33885,10.5,6
10401108016,0.317,Grafton,2379.893303,6.5,3
10401108017,0.2841,Grafton,1959.147088,7,3
10401108018,0.1345,Grafton,1923.542448,6,2
10401108019,0.2902,Grafton,3158.162884,10.1,5
10401108020,0.3852,Grafton,748.6388691,2.7,1
10401108021,0.2454,Grafton,1042.930533,3.5,1
10401108022,0.2361,Grafton,1223.946601,4.2,1
10401108023,0.1761,Grafton,1583.607653,5.1,2
10401108024,0.191,Grafton,1465.901189,4,1
10401108025,0.5759,Grafton,5580.896903,11.1,6
10401108026,0.0604,Grafton,1641.128691,4.9,2
10401108027,0.9225,Grafton,1821.837336,6,2
10401108028,0.2154,Grafton,1626.699042,5.8,2
10401108029,0.2165,Grafton,1297.746453,4.2,1
10401108030,0.3384,Grafton,1022.039545,4.4,1
10401108031,0.7489,Grafton,203.3183169,1.9,1
10401108032,0.1963,Grafton,668.8758954,1.5,1
10401108033,0.8518,Grafton,5828.358635,11.9,6
10401108034,0.628,Grafton,4875.76075,10.7,6
10401108036,19.1084,Grafton,5731.977834,9.4,5
10401108037,0.2775,Grafton,519.3030757,2.3,1
10401108038,0.3119,Grafton,922.9383942,3.2,1
10401108039,0.2999,Grafton,1352.054602,3.9,1
10401108040,0.5523,Grafton,1922.098729,5.4,2
10401108041,0.7627,Grafton,2111.259842,5,2
10401108042,0.347,Grafton,2059.832966,5.4,2
10401108043,0.4131,Grafton,2669.720436,7.4,3
10401108044,0.2156,Grafton,2112.855756,5.4,2
10401108046,0.2784,Grafton,1491.654013,5.7,2
10401108047,0.3698,Grafton,1951.167208,6.3,2
10401108048,0.4316,Grafton,2304.499836,7.5,3
10401108049,2.3578,Grafton,2524.805295,8.2,4
10401108050,0.4769,Grafton,1326.850924,3.1,1
10401108051,2.4876,Grafton,1224.193409,1.9,1
10401108052,0.3375,Grafton,1454.783954,7.7,3
10401108053,11.5137,Grafton,4177.787325,9.4,5
10401108054,16.9444,Grafton,7942.568688,13.1,7
10401108055,9.4404,Grafton,2281.500217,10.5,6
10401108101,1.1315,Grafton,17194.46705,25.1,9
10401108102,1.2971,Grafton,11502.67821,16.4,8
10401108103,917.7099,Casino,59252.97681,117.2,10
10401108104,1067.1236,Grafton,47183.93299,71.8,10
10401108105,2395.6891,Grafton,43897.99167,84.5,10
10401108106,323.3619,Grafton,37936.14309,47.6,10
10401108107,419.3427,Grafton,34577.75275,39.9,10
10401108108,186.3884,Coffs Harbour,29027.48277,82.1,10
10401108109,75.4524,Grafton,28711.10512,29.9,10
10401108110,335.4509,Grafton,29697.10385,49.3,10
10401108111,0.2294,Coffs Harbour,48674.14489,81.2,10
10401108112,173.5248,Grafton,26837.5644,35.3,10
10401108113,64.1702,Grafton,13692.92039,20.6,9
10401108114,2.1822,Coffs Harbour,29999.14808,37.4,10
10401108115,1.6087,Grafton,6168.730378,16.1,8
10401108116,3.5147,Grafton,5939.473737,15.4,8
10401108117,4.1167,Grafton,6873.091081,16.1,8
10401108118,0.9305,Grafton,5333.822707,15.1,8
10401108119,1.2444,Grafton,18662.04994,29.7,10
10401108120,1.8871,Yamba,22910.60629,30.1,10
10401108121,4.2865,Yamba,22807.14403,31.7,10
10401108122,343.1826,Grafton,29995.38275,54.3,10
10401108123,308.1868,Grafton,26885.16818,33.5,10
10401108124,32.698,Grafton,9882.336611,27.6,9
10401108125,15.5976,Grafton,9106.571057,20.9,9
10401108126,20.1229,Grafton,11424.32559,16.9,8
10401108127,35.1435,Grafton,11979.45649,16.1,8
10401108128,199.4647,Grafton,26600.38796,34,10
10401108129,142.3519,Yamba,21826.37337,37.2,10
10401108130,16.4398,Yamba,13676.77494,22.3,9
10401108131,49.8241,Yamba,19090.54696,26.5,9
10401108132,16.4521,Grafton,23558.48183,30,10
10401108133,56.9204,Grafton,8868.429733,21.3,9
10401108134,123.7917,Grafton,12352.58654,17,8
10401108135,5.0358,Grafton,15101.54259,19.4,9
10401108136,179.9491,Grafton,28345.55308,32,10
10401108137,25.1544,Grafton,20542.9786,27.8,9
10401108138,28.9942,Grafton,18348.97046,23.6,9
10401108139,81.0742,Grafton,12441.49508,17,8
10401108140,108.4713,Grafton,16087.45375,29.4,10
10401108141,0.4485,Grafton,4868.887208,11.6,6
10401108143,82.8219,Grafton,11820.79647,22,9
10401108144,323.8472,Grafton,25697.85655,82.7,10
10401108145,127.7203,Yamba,23348.15774,42,10
10401108146,63.4395,Grafton,17288.88453,24.6,9
10401108147,1.3044,Grafton,36860.7602,41.9,10
10401108148,0.8032,Grafton,37688.94049,44.1,10
10401108149,0.1674,Yamba,38544.31381,67.9,10
10401108150,11.6018,Yamba,15909.35335,30.1,10
10401108151,2.0198,Grafton,3808.830833,11.2,6
10401108152,62.2191,Grafton,6890.760287,14.7,8
10401108201,0.0558,Yamba,3890.139291,8.4,4
10401108202,0.13,Yamba,284.0633774,2.9,1
10401108203,0.3678,Yamba,635.2351741,2.6,1
10401108204,0.8828,Yamba,1447.12679,4.1,1
10401108205,0.2565,Yamba,1047.019165,4.3,1
10401108206,3.8382,Yamba,1653.777589,5.2,2
10401108207,4.6977,Yamba,12388.20441,21.7,9
10401108208,3.5357,Yamba,5604.42656,7.8,4
10401108209,0.5866,Yamba,19829.68464,37.1,10
10401108210,146.8154,Yamba,16424.89453,31.1,10
10401108211,3.279,Yamba,10039.71024,20.8,9
10401108212,1.6252,Yamba,8585.749072,22.8,9
10401108213,2.9649,Yamba,10562.27772,22.8,9
10401108214,1.5946,Yamba,11561.31388,20.2,9
10401108215,6.6222,Yamba,10587.54144,12.3,7
10401108216,0.9515,Yamba,11681.91232,16.2,8
10401108217,0.2562,Yamba,12922.82256,18.2,9
10401108218,0.1891,Yamba,12403.60811,15.6,8
10401108219,0.4371,Yamba,12022.90896,18.5,9
10401108220,0.1522,Yamba,12680.13691,16.7,8
10401108221,0.9415,Yamba,3594.840037,35,10
10401108222,2.6878,Yamba,3179.152372,36.5,10
10401108223,308.2893,Yamba,15485.89256,21.9,9
