SA1_MAINCODE_2016,Area (sq km),Nearest Centrelink office,Distance (km),Walk time (min),Transit time (min),Wait time (min),Total travel time (min),Number of transfers,Travel time decile
21205132532,0.2796,Springvale,3970.486599,2,21,0,22,0,4
80104103714,0.1852,Gungahlin,2961.310333,2,9,0,11,0,1
80104104027,0.1553,Gungahlin,106.8307453,2,0,0,2,0,1
11802156721,0.0332,Maroubra,446.621089,2,1,0,3,0,1
20401105905,0.3974,Seymour,338.4517128,2,1,0,3,0,1
10201102815,0.1984,Ettalong,9637.999408,2,62,28,92,1,10
11504130215,0.0976,Rouse Hill,2453.681793,2,22,0,24,0,5
11703133034,0.0076,Redfern,1071.519854,2,7,0,9,0,1
31003129214,0.3639,Ipswich,1417.168892,2,8,0,10,0,1
31503140907,0.5408,Charleville,135.6380563,2,0,0,2,0,1
40102100749,0.4254,Mt Barker,102.4902086,2,0,0,2,0,1
11504130216,0.0825,Rouse Hill,2565.465398,2,22,0,24,0,5
11903136919,0.1129,Hurstville,1555.004854,2,7,0,9,0,1
20701115019,0.1738,Camberwell,3076.990916,2,13,0,15,0,2
21001122616,0.3716,Airport West,73.68614634,2,0,0,2,0,1
30901122514,0.0923,Palm Beach,5214.213849,2,11,0,13,0,1
31003128601,0.4075,Ipswich,115.646112,2,0,0,2,0,1
40304107318,0.3024,Noarlunga,1041.045191,2,4,0,6,0,1
50603112430,0.1975,Cannington,2026.268971,2,9,0,11,0,1
10102100806,0.1358,Queanbeyan,2355.559699,2,10,0,12,0,1
11703133623,0.0465,Redfern,839.3725071,2,7,0,9,0,1
12301143401,0.0838,Camden,5455.365124,2,28,7,38,1,8
12301143404,0.1004,Camden,4605.167768,2,30,6,38,1,8
12404146815,2.5295,Hawkesbury,7216.497737,2,35,24,61,1,10
12801160508,0.2273,Caringbah,2445.602921,2,15,0,17,0,2
12102157727,0.0115,Hornsby,83.97306782,2,0,0,2,0,1
30203103911,0.1105,Nundah,2868.546444,2,14,0,16,0,2
12401145205,0.4708,Katoomba,1447.026021,2,7,0,9,0,1
31305137808,0.1323,Margate,1123.8301,2,2,0,4,0,1
50602111906,0.124,Victoria Park,2682.446805,2,7,0,9,0,1
51002126803,0.3871,Newman,68.58114647,2,0,0,2,0,1
11201123630,0.308,Ballina,122.8662244,2,0,0,2,0,1
11903136928,0.0495,Hurstville,1361.648037,2,6,0,8,0,1
70104103811,0.6484,Palmerston,1061.342736,2,9,0,11,0,1
80105105104,0.1447,Braddon,100.7213773,2,0,0,2,0,1
20605112834,0.0372,Windsor,1658.868995,2,6,0,8,0,1
80104103703,0.0924,Gungahlin,3238.602617,2,12,0,14,0,2
10601110713,0.8192,Cessnock,20242.2062,2,82,4,88,1,10
10704114620,0.0977,Wollongong,3745.337308,2,21,0,23,0,4
30803120602,3.7266,Rockhampton,22061.59348,2,66,4,72,1,10
20302103911,0.3772,Geelong,70.89501094,2,0,0,2,0,1
40304108742,0.2226,Noarlunga,4120.098095,2,19,0,21,0,4
30204104226,0.2591,Margate,6546.548931,2,15,0,17,0,2
30902123401,0.0807,Palm Beach,1591.855819,2,3,0,5,0,1
60103101410,0.2137,Glenorchy,2542.611537,2,9,0,11,0,1
11602131226,0.3569,Rouse Hill,4887.092226,2,19,4,25,1,5
12802160709,1.5171,Sutherland,3212.504897,2,28,2,32,1,7
50602111825,0.3223,Victoria Park,4371.433444,2,17,0,19,1,3
11102122102,0.1695,Toronto,9237.933549,2,36,9,47,1,9
31905152405,0.1831,Maryborough,2247.59303,2,3,0,5,0,1
10102100926,0.1128,Queanbeyan,414.0385103,2,2,0,4,0,1
10704154805,0.0656,Wollongong,177.9975962,2,0,0,2,0,1
10302106313,0.4471,Cowra,1118.125025,2,3,0,5,0,1
11602131038,1.1464,Rouse Hill,1472.276601,2,10,0,12,0,1
12302143849,0.223,Campbelltown,2561.22018,2,26,0,28,0,6
11801134505,0.0507,Darlinghurst,930.5534424,2,8,0,10,0,1
12802160902,0.3346,Sutherland,2319.032899,2,35,0,37,0,8
30301105008,0.168,Stones Corner,4232.269234,2,12,0,14,0,2
30404110118,0.1849,Mitchelton,160.338917,2,0,0,2,0,1
11201123905,0.5851,Brunswick Heads,102.3640659,2,0,0,2,0,1
30901122515,0.0964,Palm Beach,4764.429387,2,10,0,12,0,1
30903123908,0.2579,Biggera Waters,3892.921831,2,12,0,14,1,2
11103122304,0.4973,Maitland,10439.07968,2,38,0,40,0,9
12003139210,0.1417,Campsie,1515.011511,2,6,0,8,0,1
12403146231,0.1243,St Marys,2354.563973,2,7,0,9,0,1
12702151121,0.0837,Cabramatta,1344.843214,2,28,0,30,0,7
30909154019,0.2021,Southport,61.03926903,2,0,0,2,0,1
80104104702,0.1591,Gungahlin,3734.683136,2,16,0,18,0,3
10701113411,0.1394,Wollongong,5983.419932,2,28,0,30,0,6
10704154926,0.1708,Wollongong,1311.549984,2,7,0,9,0,1
11703132919,0.047,Darlinghurst,64.40364125,2,0,0,2,0,1
11901157101,0.0079,Bankstown,137.6766181,2,0,0,2,0,1
12503148548,0.1727,Merrylands,162.4147421,2,0,0,2,0,1
20804119447,0.0942,Camberwell,2515.694361,2,11,3,16,1,2
10602111704,0.1326,Maitland,4187.166946,2,19,0,21,0,4
11802134856,0.036,Maroubra,1720.636762,2,9,0,11,0,1
20604112310,0.0158,Newmarket,2323.561155,2,10,0,12,0,1
40102100909,20.2172,Mt Barker,6183.908053,2,18,0,21,0,4
10201104214,0.6999,Ettalong,866.5019742,2,6,0,8,0,1
12101140255,0.2155,Chatswood,2382.311185,2,17,0,19,0,3
31003128501,0.2081,Ipswich,4688.887069,2,21,0,23,0,4
31603142707,0.2814,Maroochydore,94.71425172,2,0,0,2,0,1
11802134827,0.0998,Maroubra,1955.391687,2,10,0,12,0,1
12301143413,0.1833,Camden,2312.271132,2,8,0,10,0,1
20701115302,0.2368,Camberwell,2772.204802,2,13,2,18,1,3
30906124839,0.2818,Nerang,138.6327439,2,0,0,2,0,1
50702116514,0.246,Fremantle,156.9871999,2,0,0,2,0,1
11603131601,0.3551,St Marys,4625.753041,2,21,0,23,0,4
12802160813,0.2059,Sutherland,2087.451935,2,9,0,11,0,1
12702151123,0.0223,Cabramatta,1150.121577,2,3,0,5,0,1
21603141734,0.4639,Shepparton,150.0584124,2,0,0,2,0,1
11202124428,0.7339,Casino,2151.322031,2,8,0,10,0,1
12203143116,0.1002,Northern Beaches,5923.93028,2,22,0,24,0,5
30902123407,0.1119,Palm Beach,61.81876696,2,0,0,2,0,1
10602111701,0.2173,Maitland,3870.690193,2,16,0,18,0,3
10704154902,0.1324,Wollongong,1677.502976,2,7,0,9,0,1
20605113341,0.0444,Windsor,1274.198334,2,4,0,6,0,1
30203103924,0.1166,Nundah,3298.618422,2,17,0,19,0,3
30501110519,0.1053,Fortitude Valley,1357.200036,2,7,0,9,0,1
80104104628,0.0904,Gungahlin,3091.49254,2,14,0,16,0,2
31903151224,0.357,Gympie,110.870756,2,0,0,2,0,1
50603112423,0.2275,Cannington,2191.050155,2,7,0,9,0,1
11802156820,0.0159,Maroubra,113.5759093,2,0,0,2,0,1
11902136712,0.1158,Hurstville,3650.919453,2,19,0,21,0,4
31903151208,4.1204,Gympie,5020.131799,2,29,0,31,0,7
50603112815,0.7014,Cannington,1693.837644,2,13,2,17,1,2
80104103711,0.1507,Gungahlin,3202.265988,2,10,0,12,0,1
12104141310,0.0712,Chatswood,3544.826785,2,22,0,24,0,5
12302144138,0.14,Campbelltown,1727.102307,2,5,0,8,0,1
20803118840,0.2075,Cheltenham,110.3993272,2,0,0,2,0,1
31905152428,0.1858,Maryborough,3090.309312,2,10,0,12,0,1
40102100908,1.2485,Mt Barker,6474.111158,2,17,0,20,0,3
40304107230,0.1169,Noarlunga,16100.9083,2,69,0,71,0,10
10104102531,7.731,Bega,26230.85872,2,38,0,40,0,9
11303126733,0.1803,Wagga Wagga,4461.684822,2,19,0,22,0,4
12301143426,0.111,Camden,4694.291594,2,26,6,34,1,8
20604112316,0.1195,Newmarket,2488.205082,2,12,0,14,0,2
30903123720,0.1272,Biggera Waters,4830.98437,2,21,0,23,0,4
10201103710,0.1494,Woy Woy,4050.051761,2,16,0,18,0,3
10602111406,10.3962,Maitland,3861.731533,2,22,0,24,0,5
10603112234,3.0745,Raymond Terrace,1611.776269,2,7,0,9,0,1
11102122015,0.2485,Toronto,4113.748946,2,19,0,21,0,4
30805153403,0.6913,Gladstone,175.5190741,2,0,0,2,0,1
31901149326,0.3428,Bundaberg,11975.11112,2,32,0,34,0,8
40504112409,0.5107,Kadina,128.5097123,2,0,0,2,0,1
50602112228,0.5189,Victoria Park,3699.882704,2,13,0,15,0,2
10601110851,0.1812,Cessnock,2792.773662,2,17,0,19,0,3
11703133637,0.0498,Redfern,1063.052807,2,8,0,10,0,1
21204146030,0.1363,Springvale,2268.587214,2,10,0,12,0,1
21303134832,0.0456,Footscray,1307.889209,2,6,0,8,0,1
31605143819,0.2318,Noosa,2564.786862,2,14,0,16,0,2
10704114610,0.2662,Wollongong,5055.271193,2,28,0,30,0,6
12203142849,0.1214,Northern Beaches,6303.910495,2,40,1,43,1,9
20606113614,0.0435,Windsor,135.2597465,2,0,0,2,0,1
31106133020,0.3063,Woodridge,2807.003933,2,20,0,22,0,4
50401104715,0.6389,Morley,42.48012645,2,0,0,2,0,1
11802156619,0.0987,Maroubra,1020.529525,2,5,0,7,0,1
20605112825,0.0712,South Melbourne,2649.49433,2,11,0,13,0,1
80104103705,0.0338,Gungahlin,3104.053098,2,11,0,13,0,1
50603112804,0.107,Cannington,4538.219079,2,22,10,34,1,8
10201104101,0.149,The Entrance,10016.91928,2,25,0,27,0,6
10602111569,0.1247,Maitland,4997.615759,2,29,0,31,0,7
11102121602,0.618,Toronto,10829.22804,2,93,2,97,1,10
20601110856,0.0433,Moreland,1002.483846,2,6,0,8,0,1
31301136332,0.4075,Deception Bay,19717.32026,2,91,47,140,2,10
50603112901,0.1717,Cannington,3427.305276,2,12,0,14,0,2
10805116957,0.1594,Taree,1968.695604,2,5,0,7,0,1
11802134828,0.063,Maroubra,1802.38925,2,11,0,13,0,1
20604112111,0.0331,Newmarket,187.0862473,2,0,0,2,0,1
20607114440,0.0742,Yarra,227.683508,2,0,0,2,0,1
20703116520,0.2243,Box Hill,2911.174196,2,15,0,18,0,3
30102101335,0.23,Cleveland,7516.175423,2,25,4,31,1,7
50603112408,0.0979,Cannington,1233.490772,2,4,0,6,0,1
11901135426,0.1318,Bankstown,4453.9116,2,16,0,18,0,3
11903136905,0.0423,Hurstville,1842.54501,2,9,0,11,0,1
12501158325,0.0229,Auburn,206.5070913,2,0,0,2,0,1
30501110509,0.2603,Fortitude Valley,1673.334727,2,9,0,11,0,1
30903124003,0.1781,Biggera Waters,2413.714133,2,8,0,10,0,1
31802148712,0.2335,Townsville Jobseekers,5994.183699,2,32,0,34,0,8
50102125328,0.2338,Bunbury,2959.226943,2,13,0,15,0,2
60402108607,0.3026,Devonport,2247.189255,2,10,0,13,0,1
10202105620,0.5848,Wyong,4409.26918,2,14,0,16,0,2
10704154907,0.0778,Wollongong,1610.917026,2,10,0,12,0,1
12802160740,0.1654,Sutherland,2673.173983,2,31,2,35,1,8
20101100219,0.6372,Ballarat,24.88949415,2,0,0,2,0,1
31903151222,0.9126,Gympie,1951.532647,2,8,0,10,0,1
31905152416,0.1999,Maryborough,1240.932971,2,5,0,7,0,1
10601110849,0.3069,Cessnock,3409.950233,2,18,0,21,0,4
11102122019,0.2828,Toronto,7248.941261,2,38,0,40,0,9
20701114913,0.1511,Camberwell,952.2770046,2,6,0,8,0,1
20901119804,0.3731,Heidelberg,1053.723491,2,6,0,8,0,1
21204131814,0.083,Springvale,1962.906407,2,8,0,10,0,1
31304137349,0.1853,Deception Bay,125.8320241,2,0,0,2,0,1
12203142802,0.2143,Northern Beaches,4384.964167,2,19,0,22,0,4
12302143853,0.0747,Campbelltown,4440.042847,2,17,0,19,0,3
20601110716,0.1072,Moreland,2861.944182,2,13,0,15,0,2
20603111513,0.0828,Newmarket,127.0810863,2,0,0,2,0,1
21501138602,0.6731,Ararat,869.592146,2,3,0,5,0,1
12203142946,0.0691,Northern Beaches,2186.258496,2,18,0,20,0,3
12802160711,0.137,Sutherland,3884.00618,2,30,0,32,0,7
20601110718,0.0732,Moreland,2203.350498,2,11,0,13,0,1
20604112330,0.0609,Newmarket,2685.288893,2,14,0,16,0,2
20605112821,0.0769,South Melbourne,2802.186685,2,11,0,13,0,1
30102152712,1.0084,Cleveland,15988.09496,2,52,9,64,1,10
30501110918,0.0846,South Brisbane,2100.098067,2,31,0,33,1,7
60101100117,0.1604,Bridgewater,2897.846228,2,18,0,21,0,4
10704154910,0.1318,Wollongong,1906.911256,2,12,0,14,0,2
11904137621,0.0606,Rockdale,1434.661476,2,7,0,10,0,1
31602142215,0.1816,Caloundra,1701.818991,2,7,0,10,0,1
31905152421,0.3551,Maryborough,1766.66238,2,7,0,10,0,1
11802134853,0.0405,Maroubra,2195.501143,2,16,0,19,0,3
11904138136,0.081,Rockdale,958.8650059,2,4,0,7,0,1
20401105917,0.2123,Seymour,1368.692502,2,13,0,16,0,2
20604112306,0.0669,Newmarket,1974.121006,2,9,0,12,0,1
20605113348,0.0671,Windsor,2114.019036,2,11,2,15,1,2
31904151809,0.7688,Hervey Bay,166.030884,2,0,0,2,0,1
70104104307,0.2289,Palmerston,3094.268984,2,18,0,21,0,4
10102100801,0.1435,Queanbeyan,2575.440158,3,14,0,17,0,2
10802115814,0.9218,Nambucca Heads,1879.860372,3,7,0,10,0,1
11501155937,0.0688,Rouse Hill,4558.082666,3,16,0,19,0,3
12701150416,0.1042,Liverpool,3595.555336,3,16,0,19,0,3
12703159854,0.0124,Liverpool,491.3858716,3,3,0,6,0,1
20601110730,0.0331,Moreland,2308.280089,3,14,3,20,1,3
50603112410,0.1491,Cannington,1224.094344,3,8,0,11,0,1
60103101402,0.2072,Glenorchy,3389.780828,3,8,0,11,0,1
10601110847,0.4725,Cessnock,4431.815226,3,19,0,22,0,4
10704114418,0.8525,Wollongong,2749.290739,3,11,0,13,0,1
12501158301,0.0103,Auburn,115.5568815,3,0,0,3,0,1
20503108725,0.839,Wonthaggi,44347.4256,3,138,17,158,1,10
20503109116,0.8227,Wonthaggi,22580.8161,3,40,0,43,0,9
31701145322,0.2088,Toowoomba,2268.321982,3,10,0,13,0,1
10602111503,0.2377,Maitland,3874.652593,3,13,0,16,0,2
10704114612,0.6072,Wollongong,3316.171593,3,18,0,21,0,4
12701150431,0.278,Liverpool,3628.20782,3,17,0,20,0,3
10704154801,0.2717,Wollongong,1205.552473,3,3,0,6,0,1
11802156608,0.0645,Maroubra,622.109427,3,2,0,5,0,1
11901157137,0.0403,Bankstown,172.9428719,3,0,0,3,0,1
12301143321,0.1408,Camden,3042.435458,3,12,0,15,0,2
12404146718,0.1384,Hawkesbury,3923.377822,3,15,0,18,0,3
10104102522,0.331,Bega,30687.94799,3,49,62,114,1,10
10601110823,1.0913,Cessnock,3428.657132,3,16,0,19,0,3
11703133638,0.029,Redfern,922.7387081,3,7,0,10,0,1
12801153115,0.1987,Caringbah,3321.629416,3,21,1,25,1,5
12101140252,0.1521,Chatswood,2150.031004,3,12,0,15,0,2
20605113214,0.0707,South Melbourne,848.0418947,3,3,0,6,0,1
20701114903,0.152,Camberwell,519.0985948,3,1,0,4,0,1
40102100618,34.2164,Mt Barker,8564.813326,3,26,0,28,0,6
50102125322,0.3488,Bunbury,2222.756661,3,6,0,9,0,1
10301105826,0.3027,Bathurst,5916.413579,3,20,0,23,0,4
11102121914,0.3488,Toronto,4026.523534,3,14,0,17,0,2
11801134117,0.0832,Bondi Junction,171.1397973,3,0,0,3,0,1
12404146744,0.1506,Hawkesbury,3487.457622,3,18,0,21,0,4
20603111619,0.1162,Newmarket,2457.85861,3,8,0,11,0,1
20604112209,0.0541,South Melbourne,1735.929053,3,10,0,13,0,1
30302105321,0.1286,Stones Corner,1327.958993,3,3,0,6,0,1
60103101405,0.2191,Glenorchy,2912.742,3,14,0,16,0,2
60105103309,0.1213,Hobart,960.5980282,3,8,0,11,0,1
10202105304,0.1148,The Entrance,2368.500974,3,12,0,15,0,2
10602111735,0.1268,Maitland,2971.781052,3,16,0,19,0,3
11702132818,0.0838,Marrickville,1159.011808,3,4,0,7,0,1
11802156819,0.0367,Maroubra,75.74990104,3,0,0,3,0,1
12503148435,0.3439,Fairfield,2303.969564,3,9,0,12,0,1
30203103906,0.122,Nundah,3569.914745,3,21,0,24,0,5
30203103909,1.7345,Nundah,3768.4715,3,20,0,23,0,4
10602111510,0.2024,Maitland,4714.07162,3,24,0,27,0,6
10603112524,0.1627,Raymond Terrace,12964.47253,3,26,0,29,0,6
12702151124,0.0194,Cabramatta,955.8476676,3,3,0,6,0,1
20103101618,0.3364,Maryborough,119.9034334,3,0,0,3,0,1
20604112215,0.0806,South Melbourne,1439.396632,3,8,0,11,0,1
20605112835,0.0173,Windsor,1533.222673,3,5,0,8,0,1
20701115231,0.0629,Camberwell,822.5030132,3,4,0,7,0,1
31701145709,0.1853,Toowoomba,1827.101295,3,12,0,15,0,2
40304107912,0.2547,Noarlunga,2029.49337,3,15,0,18,0,3
80104103414,0.0678,Gungahlin,2064.178706,3,8,0,11,0,1
10601110834,0.5435,Cessnock,109.4144022,3,0,0,3,0,1
11703133748,0.0977,Darlinghurst,1238.098861,3,10,0,13,0,1
11802156703,0.1531,Maroubra,1680.229163,3,8,0,11,0,1
30503111909,0.1175,Fortitude Valley,2879.116964,3,8,0,11,0,1
31305138032,0.2211,Margate,2454.046595,3,24,0,27,0,6
31305154207,0.171,Margate,4607.885764,3,24,7,34,1,7
31605143828,0.1291,Noosa,4396.101992,3,25,0,28,0,6
10601110806,0.1427,Cessnock,1618.831281,3,13,0,16,0,2
11203155018,0.1392,Tweed Heads,1819.906234,3,11,0,14,0,2
11703133043,0.0622,Redfern,2718.778791,3,14,0,17,0,2
31103131209,0.8898,Browns Plains,141.4104364,3,0,0,3,0,1
11802156723,0.0691,Maroubra,816.1575696,3,3,0,6,0,1
11904138108,0.0569,Rockdale,813.581007,3,3,0,6,0,1
12802160903,0.1882,Sutherland,2467.018105,3,36,0,39,0,8
31602141722,0.2317,Caloundra,5417.075363,3,16,0,19,0,3
31905152427,0.2043,Maryborough,2676.918611,3,11,0,14,0,2
10104102309,0.6288,Bega,44534.64815,3,70,0,73,0,10
10601111138,0.1001,Kurri Kurri,3658.189373,3,6,0,8,0,1
10602111711,0.3288,Maitland,3593.640256,3,20,0,23,0,4
10701113135,0.2559,Dapto,2161.541532,3,13,0,16,0,2
10802115801,0.4725,Nambucca Heads,161.1993025,3,0,0,3,0,1
11503130005,3.3586,Hawkesbury,13099.62264,3,57,41,101,2,10
12404146816,2.7564,Hawkesbury,8472.971315,3,33,24,60,1,10
12503148501,0.1073,Merrylands,2603.778928,3,16,0,19,0,3
12702151529,0.0287,Fairfield,187.7943794,3,0,0,3,0,1
40101100145,0.0758,Torrensville,2303.364343,3,7,0,10,0,1
50602112254,0.1159,Cannington,4573.565748,3,30,2,35,1,8
80104104809,0.1782,Gungahlin,2003.585723,3,7,0,10,0,1
10202105013,0.1673,Lake Haven,10347.93815,3,21,0,24,0,5
11802156420,0.0389,Maroubra,2725.374807,3,9,0,12,0,1
12801160214,0.1326,Caringbah,1072.531461,3,7,0,10,0,1
30901122516,0.155,Palm Beach,4191.466114,3,6,0,9,0,1
10201104229,0.2308,Woy Woy,182.2921156,3,0,0,3,0,1
10302106312,0.6492,Cowra,138.1156946,3,0,0,3,0,1
11904137503,0.1479,Rockdale,1712.184245,3,6,0,9,0,1
20605113213,0.1148,South Melbourne,800.9884526,3,3,0,6,0,1
20703116312,0.1139,Box Hill,159.2006547,3,0,0,3,0,1
21005124629,0.1787,Broadmeadows,5755.411231,3,22,0,25,0,5
30302105510,0.0726,Stones Corner,998.3530626,3,4,0,7,0,1
30803122222,0.218,Rockhampton,3866.595106,3,14,0,17,0,2
31903151120,0.4292,Gympie,39832.10923,3,83,0,86,0,10
40102100614,1.7066,Mt Barker,19189.07344,3,50,0,53,0,10
50605113833,0.3219,Cannington,7638.891141,3,38,1,42,1,9
51102127601,0.6142,Carnarvon,244.9863846,3,0,0,3,0,1
70104104405,0.1726,Palmerston,3101.642441,3,17,0,20,0,3
11802156601,0.0362,Maroubra,283.0099418,3,1,0,4,0,1
12203142636,0.0226,Northern Beaches,2975.744176,3,14,0,17,0,2
30804152910,0.3032,Biloela,205.0033593,3,0,0,3,0,1
31302136515,0.2088,Caboolture,2734.289139,3,14,0,17,0,2
50603112432,0.1397,Cannington,2661.212935,3,9,0,12,0,1
10704154809,0.0781,Wollongong,1182.567987,3,6,0,9,0,1
11502129751,3.2203,Rouse Hill,5693.093489,3,69,34,106,1,10
20603111506,0.0138,Newmarket,1026.558173,3,4,0,7,0,1
20606113630,0.0564,Windsor,819.6401573,3,3,0,6,0,1
31302136802,0.3019,Caboolture,4516.359404,3,33,1,37,1,8
11902136351,0.0668,Campsie,1092.774753,3,5,0,8,0,1
20605113354,0.0368,Windsor,1776.039864,3,8,0,11,1,1
30102100908,0.2754,Cleveland,13416.22705,3,40,5,48,1,9
